Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15
Beta_1.80,M328,1.92527458317555,1.92822870631577,1.91946433545621,1.89272277916397,1.84873479754716,1.78870902092325,1.7142758625791,1.62741281666962,1.53035595569273,1.425503223197,1.31531541246042,1.2022205538599,1.08852684217319,0.976348297716366,0.867546177018438,0,0,0,0,0,0,0,0,0,0,0,5.0611012006128e-29,4.7832744190911e-94,0,0
Beta_1.80,M329,1.94195398278954,1.94030466920503,1.93098255601513,1.90391536757711,1.85975191778028,1.79967539198845,1.7252858644682,1.63852797667519,1.54160468209911,1.43688251283328,1.32679416387062,1.21374406899555,1.10002209146637,0.987729547660629,0.878720626032956,0,0,0,0,0,0,0,0,0,0,1.30819040778191e-170,1.33188434182041e-13,1.60435061624139e-45,2.28648984586959e-266,0
Beta_1.80,M330,1.89230509073082,1.8888776342474,1.88033175326784,1.85567211850058,1.81339918484605,1.75466374420119,1.68108965360184,1.59469590632409,1.49780029004926,1.39291128007372,1.2826155390357,1.16946836611315,1.05589377226924,0.944099658229282,0.836011995240839,0,0,0,0,0,0,0,0,0,0,0,1.11254679873258e-06,4.7832744190911e-94,0,0
Beta_1.80,M331,1.79647795944909,1.79808868538752,1.78670038014396,1.76676392655588,1.72838401225161,1.67254144591394,1.6008747695281,1.51552409044705,1.41901587774816,1.3141275894177,1.20396707107132,1.11169840940192,0.977986720558996,0.86715785846272,0.761101246439718,0,0,0,0,0,0,0,0,0,0,5.26918508306166e-12,0.000960005441285466,4.7832744190911e-94,0,0
Beta_1.80,M332,1.65423629093112,1.6686281886737,1.6509078390893,1.63609266889053,1.60398565061563,1.55312604675924,1.48503690249499,1.40200298530051,1.30811175421705,1.21798426970574,1.14245187677846,1.02655577525852,0.881551373893257,0.762604437506469,0.659760651133709,0,0,0,0,0,0,0,0,0,1.23258425712864e-13,7.34723539329947e-05,0.000774852357286575,4.7832744190911e-94,0,0
Beta_1.80,M333,1.46800725074907,1.49677103514996,1.47803271686081,1.46164372496367,1.43792856662872,1.39801613211762,1.34634338609974,1.29148529030264,1.2357803277122,1.16549714072344,1.06147122873029,0.925194253387531,0.781760753283541,0.654392251329946,0.548761523919692,0,0,0,0,0,0,0,0,0.00245137818745173,8.4239876241467e-25,4.52580786676725e-06,8.11853834914628e-11,4.7832744190911e-94,0,0
Beta_1.80,M334,1.27570198889835,1.31216086872885,1.30528306130564,1.29419303904412,1.29471299485812,1.2955750354768,1.28440897944027,1.2516677246142,1.18970257620219,1.09582853414768,0.975102470280163,0.839476922581104,0.703483668317444,0.579171345693331,0.473152731711562,0,0,0,0,0,0,2.94552610249135e-263,0.00014677974240277,0.000948912118781919,6.45918382860078e-12,0.000774837428883276,8.57377302933967e-10,4.7832744190911e-94,0,0
Beta_1.80,M335,1.29469304081087,1.34124361802391,1.35350817057869,1.35014100929543,1.34955133364863,1.3505264729335,1.33889500161681,1.30120007531651,1.23081706307331,1.12869468572868,1.00233734085388,0.863493669948289,0.724863386284375,0.596955949446778,0.486217165035206,0,0,0,0,0,0,0,0,1.79530411785717e-77,0.000178263979585074,2.38740563165375e-57,9.85001403536713e-05,4.7832744190911e-94,0,0
Beta_1.80,M336,1.49886741311115,1.54474424588694,1.54756236047752,1.51435693128078,1.46234902278416,1.40787987453999,1.35816775458485,1.30891272054973,1.24712371482589,1.15916016065236,1.04097691816292,0.902555301187705,0.761882480898349,0.634192038499744,0.525973914083065,0,0,0,0,0,0,0,1.38389652673674e-90,5.23931410698236e-05,6.1609558829002e-14,1.02702567594518e-07,4.52580802919079e-06,0,0,0
Beta_1.80,M337,1.72562655835362,1.76418534915406,1.76150647715482,1.71871263014206,1.64394591857228,1.54855746315209,1.44337809864352,1.33914034462989,1.24869840180494,1.17282439887003,1.08086811708658,0.950092119611149,0.808322546363156,0.687398634093586,0.587855777368208,0,0,0,0,0,0,0,0,0.000912254475673176,7.53525136079508e-09,2.20055397271264e-31,2.38740584848664e-57,0,0,0
Beta_1.80,M338,1.90676850828865,1.93719305662874,1.93108321969857,1.88791764703356,1.81172952229685,1.70999370594765,1.59160634358565,1.46484085819405,1.33603039170281,1.209957114432,1.1059276018354,1.00328245885569,0.862171233623581,0.753607005134765,0.656077207227014,0,0,0,0,0,0,0,0,0.000293725445081004,3.55238610325445e-11,3.22396988425141e-24,0.000774837428883276,0,0,0
Beta_1.80,M339,2.02695193912756,2.05482240125844,2.05032274840241,2.01207371970215,1.94176661430268,1.84396789803662,1.72528512948305,1.59316657113495,1.45470752958621,1.31578123291809,1.18064611760543,1.05585304803675,0.931285914612864,0.81916285682021,0.715820659054867,0,0,0,0,0,0,0,0,0,1.87518574574863e-07,0.000437564818885626,1.44076249840383e-44,0,0,0
Beta_1.80,M340,2.08458415092057,2.11468967138741,2.11582894055131,2.0860459188252,2.02556220219224,1.93692747073164,1.82474740060862,1.69504860378083,1.55444124010764,1.40928374074609,1.26502911736069,1.1258556566415,0.994591205888158,0.872864760499094,0.761382382531807,0,0,0,0,0,0,0,0,0,0.000692569324205246,2.63310509991347e-12,6.70050177183047e-97,0,0,0
Beta_1.80,M341,2.08524238057662,2.12029038332942,2.12962711373898,2.11068611234251,2.06248347687001,1.98597397388671,1.8841080020473,1.76155423892362,1.62414113988541,1.47814257581324,1.32956461588001,1.18357398224171,1.04415458622838,0.914009493501151,0.794665863417433,0,0,0,0,0,0,0,0,0,1.09216815960389e-30,0.000230067156371131,1.3318843418204e-13,1.60435061624139e-45,2.28648984586959e-266,0
Beta_1.80,M342,1.99410712756171,2.03382491927543,2.05153645120359,2.04409026587804,2.00930474824046,1.94653466124819,1.85705458537803,1.74413240032046,1.61274541263683,1.46899134127673,1.31932992804177,1.16982892486541,1.025570361487,0.890311277935958,0.766414306874277,0,0,0,0,0,0,0,0,0,2.53055060030793e-29,0.000437564737700244,1.3318843418204e-13,1.60435061624139e-45,2.28648984586959e-266,0
Beta_1.80,M343,1.85214476948342,1.89087143956381,1.91260605163748,1.91431277674721,1.89287125808827,1.84578949415828,1.77202657397204,1.67265959834621,1.55114294339616,1.41302966171361,1.2652073382119,1.1148648561722,0.968482096162307,0.83109642727742,0.70597695864817,0,0,0,0,0,0,0,0,0,0,2.47202668158882e-76,3.22402049526341e-24,4.7832744190911e-94,0,0
Beta_1.80,M344,1.7289794558808,1.75667036125914,1.77121813515699,1.77226314006898,1.75811836924635,1.72569673409162,1.6712795607604,1.59201197788036,1.48755708386204,1.36112831670357,1.21933811776296,1.0708610743362,0.924478677058021,0.787310640622174,0.663838786974141,0,0,0,0,0,0,0,0,0,1.35090418045638e-137,0.000437564737700243,5.0611012006128e-29,4.7832744190911e-94,0,0
Beta_1.80,M345,1.59302220652944,1.60992274058512,1.60809436128448,1.59011477199381,1.55997127850773,1.52115612873753,1.4739605026416,1.41393055378312,1.33367306386764,1.22793921008272,1.09863846663841,0.955691432647298,0.812855787539679,0.681787026628611,0.568473299993524,0,0,0,0,0,0,0,0,0,0,3.22396988425141e-24,1.26129000317067e-14,1.58849493072184e-43,2.36720848345797e-261,0
Beta_1.80,M346,1.4327837621861,1.45553606119188,1.45565273288656,1.43266747284658,1.38764254012316,1.32383708152749,1.24829093100985,1.17207131041086,1.10234555024263,1.02882100435118,0.929477221050967,0.800773456101557,0.667015769682046,0.552450286521966,0.461741846166495,0,0,0,0,0,0,0,2.74878778059684e-46,0,0,0.000230066298993828,1.26116635799712e-14,1.58849493072184e-43,2.36720848345797e-261,0
Beta_1.80,M347,1.23485331868407,1.26506261238401,1.2723520677049,1.2558539716713,1.21652390102937,1.15697219198557,1.08108716208519,0.993539673296491,0.899807010697313,0.813054157341284,0.751621042454566,0.663935863763271,0.547645892522045,0.462247774179589,0.395751373892035,0,0,0,0,0,1.4102865776208e-21,0,0,0,0,7.89739324111032e-39,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M348,1.01476909095952,1.04374674006067,1.05191545812146,1.04062981878379,1.01299497848978,0.972025874682025,0.919834292030477,0.857902320482015,0.787913776591107,0.712386569278665,0.634683842562542,0.575494178103439,0.486763061859983,0.421554086986355,0.364029697554699,0,0,0,1.3487386683163e-229,2.01536616103478e-202,0,0,0,0,0,2.63310509991347e-12,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M349,0.840330150253542,0.841499638542152,0.826339746993045,0.810903715171,0.806551684023736,0.808048919349884,0.802157078288479,0.778169538196364,0.732607581963392,0.669090049554431,0.595677640096772,0.521258969317333,0.452529936191965,0.392695141499967,0.34192580057567,0,0,1.23219117657934e-13,0,0,0,0,0,0,0,0,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M350,0.685967360097326,0.656665488815639,0.618193840561807,0.59970091812984,0.590427447715419,0.588764010841777,0.594619043793656,0.597244889975162,0.578639098312021,0.529098165997449,0.457668728191589,0.38392826797924,0.321777883555781,0.273426348873379,0.234750665558754,0,7.49398354939893e-19,0,0,0,0,0,0,0,0,4.69133216554131e-42,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M351,0.676193207502635,0.63662325617095,0.614152048796918,0.600014029438506,0.580476626257914,0.555965097385633,0.527494595094015,0.500224020111031,0.490004964076998,0.483933334991108,0.429690908564031,0.359116684361,0.311255390269746,0.274124091709691,0.239796370680239,0,0,0,0,0,0,0,0,0,0,2.47202664726852e-76,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M352,0.690821569012906,0.649734210387403,0.621410837965356,0.60727013952095,0.587925450689783,0.563627666091969,0.535046902624523,0.502945487191792,0.468144027221189,0.431486853057298,0.400903065562453,0.355903503946629,0.318499583741335,0.282237677059207,0.247657006251361,0,0,0,0,0,0,0,0,0,0,5.51064549294309e-259,7.64684365729835e-126,0,0,0
Beta_1.80,M353,0.121525499707539,0.0688663072096702,0.0101653634089256,0.00036786477193105,3.12929967059301e-06,6.25721616526011e-09,2.94096741535962e-12,3.2491840809184e-16,8.43788244812642e-21,5.15071683242214e-26,7.39055287407859e-32,2.49264959730995e-38,1.97615308980429e-45,3.68260373485296e-53,1.61311170581058e-61,0,0,0,0,0,0,0,0,0,0,0,1.52936873145967e-125,0,0,0
Beta_1.80,M354,0.16307195164518,0.119549499392519,0.0469426798160074,0.00911610525889467,0.000866049573041071,4.02501975492752e-05,9.15134912495312e-07,1.01787412707037e-08,5.5385345616276e-11,1.47430557716391e-13,1.9198707420886e-16,1.22306155632683e-19,3.81168044652224e-23,5.81134282869151e-27,4.33439365862691e-31,0,0,0,0,0,0,0,0,0,0,0,7.64684365729835e-126,0,0,0
Beta_1.80,M355,0.220249126758319,0.186070333887553,0.116300364087419,0.0507255833495926,0.0154051804112826,0.00325761900337186,0.000479653428749293,4.91754767830365e-05,3.51045465705625e-06,1.74490552905964e-07,6.03912796680768e-09,1.455359577196e-10,2.44208146029279e-12,2.85327576391736e-14,2.32124569243311e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M356,0.855791831179922,0.835044673524859,0.798245368801489,0.748385710837345,0.699115484573307,0.656661413329157,0.62016988893029,0.586176770719102,0.551979537107741,0.516474543566995,0.479653244579931,0.441981718072339,0.404054968490766,0.366461025465302,0.329734959125314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M357,0.90046397859715,0.884198891582702,0.853339314388493,0.805864556215806,0.750829089410968,0.695869422974308,0.645177273201794,0.599565422473036,0.557831212464762,0.518262053265077,0.479575085551886,0.457563619398782,0.403128457358154,0.365290439997342,0.328562858843473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_1.80,M358,0.955038980767749,0.942931979643126,0.917267518741892,0.874837144250151,0.820856264422321,0.760971440388877,0.700040894882939,0.641399134648602,0.586959492819657,0.543087788777235,0.527516246284845,0.490058625969727,0.415508799813656,0.366077573393113,0.328022151040332,0,0,0,0,0,0,0,0,0,0,0,4.65995301326222e-136,1.24045524937311e-314,0,0
Beta_1.80,M359,1.01877810383574,1.00924584449215,0.987677753592756,0.95042403180313,0.900579157830266,0.842555027453404,0.783242949796266,0.733091696603355,0.699708621549202,0.67242267817995,0.624378746282775,0.546058438867686,0.459745853311389,0.389107678613394,0.337045274696822,0,0,0,0,0,0,0,0,0,0,0,3.82342182864918e-125,0,0,0
Beta_1.80,M360,1.0913979686413,1.08592547199763,1.07217602096731,1.04950631047467,1.02273171219868,0.995789080126624,0.968927853753757,0.937119543858086,0.891884760161187,0.826464941001646,0.740976970264589,0.643436537646494,0.545757655958331,0.457964984554938,0.384739678189454,0,0,0,0,0,0,0,0,0,0,0,2.29405309718951e-125,0,0,0
Beta_1.80,M361,1.20505463241718,1.22512826098204,1.24086227135481,1.24795622397208,1.24415286456949,1.22635151778393,1.19140689573872,1.1372374790776,1.06384673342889,0.973834424136109,0.87215364370246,0.765174229872168,0.659390818488579,0.5602260542573,0.471286534094207,0,0,0,0,0,0,0,0,0,0,0,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M362,1.42097087777865,1.45576495745524,1.4775243146512,1.48184189149363,1.46701552903028,1.4322159363047,1.37772158538207,1.30502722579263,1.21679129662059,1.11662030899115,1.00872291912516,0.897493358115399,0.787095983823471,0.681117513527434,0.582333728830938,0,0,0,0,0,0,0,0,0,0,0,1.96046726554551e-31,1.1519838996881e-89,0,0
Beta_1.80,M363,1.64891267523718,1.67571874711214,1.68496174216,1.67458066451736,1.64451707355367,1.59550124703802,1.52902859253056,1.44727751243892,1.35297561252675,1.24922716002052,1.13931895345256,1.02652362931479,0.913918698658303,0.804236531422073,0.699755718879417,0,0,0,0,0,0,0,0,0,0,1.18466659028785e-174,1.26116635799606e-14,1.58849493072184e-43,2.36720848345797e-261,0
Beta_1.80,M364,1.81659031997419,1.83099376585668,1.82894747366127,1.80798424186085,1.76866908902933,1.71215096324575,1.64010476703221,1.55464545745809,1.45822060035318,1.35348927791933,1.24319600149831,1.13004821866207,1.01660517424322,0.905184421282991,0.797790375707817,0,0,7.16336447091931e-06,0,0,0,0,0,0,0,0,5.0611012006128e-29,4.7832744190911e-94,0,0
Beta_1.80,M365,1.91476708112033,1.91880264905116,1.91104194263297,1.88519599383651,1.8419744457806,1.7825747306675,1.70862595090908,1.62211339788261,1.52528863390809,1.42057089718678,1.31044591747539,1.19736807278311,1.08367121442219,0.97149251994606,0.86271251091963,0,0,0,0,0,0,0,0,0,0,0,5.0611012006128e-29,4.7832744190911e-94,0,0
Beta_1.80,M366,1.93184121231691,1.93096154364043,1.92233235022759,1.89586019785342,1.85218124598441,1.79247493640536,1.71834618940364,1.63175208995875,1.53491408997726,1.43022134993647,1.32013121165024,1.2070726767729,1.09335819835585,0.981108152945067,0.872191157394809,0,0,0,0,0,0,0,0,0,0,0,5.06110120140254e-29,4.7832744190911e-94,0,0
Beta_1.80,M367,1.87943601574898,1.87750152071776,1.8702325837375,1.8462398079281,1.80451316323512,1.74619501846506,1.67291237703847,1.58669795707822,1.48989187439797,1.38503088302687,1.27473285808537,1.16158419865115,1.04803714044771,0.936322710014064,0.828383391094695,0,0,0,0,0,0,0,0,0,0,0,1.17633601143134e-07,4.7832744190911e-94,0,0
Beta_1.80,M368,1.78015371278427,1.78282747564701,1.77246421894724,1.75345541453755,1.71586092557965,1.6606353386198,1.58941137492182,1.50434310747982,1.40798787700129,1.30316623795641,1.19303557234566,1.10080986461372,0.967198910116887,0.856563597326058,0.750815899076617,0,0,0,0,0,0,0,0,0,0,0.00051556290213311,7.33845797746673e-05,4.7832744190911e-94,0,0
Beta_1.80,M369,1.63393852153787,1.64935801410977,1.63275970306001,1.61906253440161,1.58798128847391,1.53798906443007,1.47057329510857,1.38803055093984,1.2947298882461,1.20596347171051,1.13065272885011,1.01405647414788,0.869212384832924,0.750298634144215,0.647946287490818,0,0,0,0,0,0,0,0,0,0.00257072585553722,0.00126455394107951,8.11853834914628e-11,4.7832744190911e-94,0,0
Beta_1.80,M370,1.44365972933039,1.47289216953286,1.45506215538659,1.43992454927038,1.417745470786,1.37973466194244,1.33042551441997,1.27794248404397,1.22349541251446,1.15292899464369,1.04828604987334,0.912168843279892,0.769331137770262,0.642459054321818,0.537408022348035,0,0,0,0,0,0,0,0,0.000651371778496806,7.16336447092394e-06,9.85001403567471e-05,5.0611012006128e-29,4.7832744190911e-94,0,0
