Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6
Beta_1.80,M300,1.72307526907127,1.72752011903109,1.48434273319955,1.22540425522698,0.921566904829575,0.58566537688573,0,0,0,3.47589128123893e-13,1.13155654153612e-13,0
Beta_1.80,M301,1.90332711493846,1.89611015942326,1.63728891382855,1.28165900649449,0.973436068145462,0.652898621148579,0,0,0,8.70542662229292e-20,2.2140946508746e-14,0
Beta_1.80,M302,2.02650902220278,2.0215822339098,1.77407794225246,1.39813782163466,1.03721730294727,0.714047237427512,0,0,0,5.61347628354251e-05,2.50622198948942e-18,0
Beta_1.80,M303,2.08734626135084,2.09674131338112,1.87417133710378,1.49888518648913,1.10105869280567,0.763180541181085,0,0,0,6.01928027681957e-32,2.5062219639035e-18,0
Beta_1.80,M304,2.08920080521868,2.12011494834941,1.93039495763162,1.56930269537012,1.15811182757016,0.797584082366091,0,0,0,1.10713448943534e-112,0.000269626183081984,0
Beta_1.80,M305,2.0042664018973,2.05731456939216,1.90499877748378,1.56578872249742,1.15016484423554,0.775594781081899,0,0,0,0,7.17374135026952e-05,0
Beta_1.80,M306,1.86040085250847,1.92485076188912,1.81295898304687,1.50527046208478,1.09302728963171,0.713251017785473,0,0,0,0,0.000203935490175952,0
Beta_1.80,M307,1.7390117070451,1.7848238853755,1.70764713020547,1.44995020630019,1.05132448577309,0.672883068745847,0,0,0,0,2.72252634469553e-05,0
Beta_1.80,M308,1.60696402641785,1.60903206230366,1.50991862401352,1.31019507891885,0.940914010922725,0.579969297180571,0,0,0,0.00111330751186443,0.000116146880906346,0
Beta_1.80,M309,1.44800971122036,1.45413798395762,1.29550020685478,1.09176799846406,0.786656585073701,0.470347599309003,0,0,0,0,2.72252634470168e-05,0
Beta_1.80,M310,1.2526494165302,1.27918325965338,1.1314917790783,0.878342318935582,0.650055953479827,0.400165224741654,0,0,9.38314461723348e-49,0,4.49811193406537e-09,0
Beta_1.80,M311,1.03074094846179,1.06239587655477,0.955973115793018,0.763419574724909,0.562435114248991,0.364640446700176,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M312,0.849662568938309,0.82585094119254,0.809038785601991,0.708122671244225,0.505847041562716,0.341590393242419,0,4.48358217058287e-243,0,0,1.4427616239915e-08,0
Beta_1.80,M313,0.691107988108145,0.603164030598424,0.593014328329764,0.561929094053261,0.369232191894762,0.233688420478436,0,0,0,0,4.50260828352723e-09,0
Beta_1.80,M314,0.676256724528008,0.602239919845516,0.53814262695995,0.491571092482088,0.346752534074664,0.238677708976913,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M315,0.690821569012906,0.610495078736703,0.546946052783433,0.453656541995265,0.348360753479402,0.247657006251361,0,0,0,0,1.15366599224987e-30,0
Beta_1.80,M316,0.122638786035011,0.000802190334730508,7.50076544783913e-11,8.24035925974234e-23,1.06365086801423e-39,1.61311170581058e-61,0,0,0,0,1.15366599224987e-30,0
Beta_1.80,M317,0.16307195164518,0.013396818332536,4.52959382228018e-06,5.63291119204158e-12,2.57645523870802e-20,4.33439365862691e-31,0,0,0,0,5.76832996124936e-31,0
Beta_1.80,M318,0.21823353592735,0.0596173071826281,0.000963366551075103,8.62314551903238e-07,4.27557778058448e-11,1.17429943614993e-16,0,0,0,0,0,0
Beta_1.80,M319,0.853787524095633,0.756438621949435,0.632768940703192,0.536755566243918,0.433184389107084,0.328555646061496,0,0,0,0,5.83881517284013e-41,0
Beta_1.80,M320,0.8994612890512,0.81505426437642,0.663960964785851,0.54160802827375,0.453059842941107,0.328562089749187,0,0,0,0,0,0
Beta_1.80,M321,0.955101109149912,0.883907006208599,0.723742445741429,0.569356257535836,0.478823504828797,0.32803434720951,0,0,0,0,4.7841485558182e-36,0
Beta_1.80,M322,1.01883674943077,0.958591731350627,0.809505234936297,0.703168612127615,0.533093741222257,0.338442069977632,0,0,0,0,2.88416498062468e-30,0
Beta_1.80,M323,1.08937471885355,1.0589481726589,0.993239948727074,0.874644187861098,0.625425508663772,0.386069472247736,0,0,0,0,1.15366599224987e-30,0
Beta_1.80,M324,1.2191057436805,1.26770771129605,1.22314748782015,1.03699801105706,0.749436933862037,0.476574203606514,0,0,0,0,4.49811193406495e-09,0
Beta_1.80,M325,1.44576731692482,1.50312153050667,1.41509921343519,1.1866191372002,0.883141558593719,0.589905209279685,0,0,0,0,4.49811193406662e-09,0
Beta_1.80,M326,1.66868149757833,1.69231441304087,1.56656810627743,1.31889866081406,1.00998515669439,0.705845970341262,0,0,0,0,2.72252634469553e-05,0
Beta_1.80,M327,1.83337111493786,1.82582579332048,1.67957741482082,1.4246760762508,1.11458536258304,0.804999268550578,0,0,0,0,5.08386930324028e-08,0
Beta_1.80,M328,1.92527458317555,1.89948135435339,1.74565824725713,1.48921291437007,1.17945885404565,0.867546177018438,0,0,0,0,5.08386930324016e-08,0
Beta_1.80,M329,1.94195398278954,1.91072635482587,1.75664154466264,1.50051588894631,1.1909830469665,0.878720626032956,0,0,0,0,0.000166675967542163,0
