Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7
Beta_1.80,M381,72,1,0,1,0,0,0,1,0,0,0,21,150,0
Beta_1.80,M382,77,1,0,0,1,0,0,0,1,0,0,18,134,0
Beta_1.80,M383,85,1,0,0,1,0,0,0,1,0,10,5,115,0
Beta_1.80,M384,74,0,1,0,0,1,0,0,1,10,0,3,102,0
Beta_1.80,M385,84,0,1,0,0,1,0,0,10,1,0,2,94,0
Beta_1.80,M386,80,0,0,1,0,1,0,10,0,0,1,0,79,0
Beta_1.80,M387,80,0,0,0,1,0,0,9,0,0,1,0,61,0
Beta_1.80,M388,79,0,0,0,1,0,0,0,0,0,0,1,43,0
Beta_1.80,M389,86,0,0,0,0,1,0,0,0,0,0,1,22,0
Beta_1.80,M390,83,0,0,0,0,0,0,0,0,0,0,0,10,0
Beta_1.80,M391,80,0,0,0,0,0,0,0,0,0,0,0,14,0
Beta_1.80,M392,76,0,0,0,0,0,0,0,0,0,0,0,2,0
Beta_1.80,M393,68,0,0,0,0,1,0,0,0,0,0,0,39,0
Beta_1.80,M394,73,0,0,0,0,1,0,0,0,0,0,0,82,0
Beta_1.80,M395,61,0,0,0,0,1,0,0,0,0,0,0,113,0
Beta_1.80,M396,58,0,0,0,1,0,0,0,0,0,0,1,137,0
Beta_1.80,M397,41,0,0,0,1,0,0,0,0,0,1,0,158,0
Beta_1.80,M398,29,0,0,1,0,0,0,0,0,0,1,0,179,0
Beta_1.80,M399,22,0,1,0,0,0,0,0,0,1,0,0,200,0
Beta_1.80,M400,15,0,1,0,0,0,0,0,1,0,0,0,220,0
Beta_1.80,M401,12,1,0,0,0,0,0,1,0,0,0,0,239,0
Beta_1.80,M402,8,0,0,0,0,0,0,1,0,0,0,0,238,0
