Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_1.2,u_188,37,266,108,1,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,3,2,0,3,2,4,0,0,1,0,0,1,0,2,4,2,1,1,2,2,3,4,2,3,5,3,4,1,0,2,2,3,47,444,305,22
Beta_1.2,u_189,41,236,119,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,2,0,3,2,2,0,0,1,1,2,0,0,0,2,3,1,5,1,2,2,2,2,3,1,1,2,2,1,1,0,2,1,5,4,5,49,409,310,30
Beta_1.2,u_190,45,215,146,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,2,0,2,2,0,1,0,3,2,0,0,1,0,1,0,3,1,3,1,1,0,0,2,2,4,5,0,0,3,3,5,3,1,4,3,41,396,327,41
Beta_1.2,u_191,50,208,137,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,4,2,0,1,0,2,1,0,0,0,1,0,2,2,1,1,1,0,2,0,3,0,2,2,4,1,1,0,0,4,3,7,2,46,390,365,28
Beta_1.2,u_192,39,214,145,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,5,0,0,4,2,0,0,0,1,1,0,1,1,3,1,0,0,0,2,0,1,3,1,2,0,0,3,2,1,1,5,4,38,402,407,12
Beta_1.2,u_193,38,210,137,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,5,3,1,1,0,0,0,0,0,0,1,5,1,0,1,0,1,2,1,0,1,0,3,1,1,2,0,3,2,5,1,4,40,440,355,43
Beta_1.2,u_194,42,201,132,0,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,2,3,2,2,0,0,1,0,3,1,2,0,1,0,0,0,0,0,0,0,1,5,5,0,0,3,5,4,2,1,0,6,2,35,463,353,17
Beta_1.2,u_195,43,201,121,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,4,4,0,0,0,2,0,1,2,0,0,0,0,1,0,0,4,1,3,0,1,0,1,4,1,0,1,2,5,8,2,5,39,493,303,20
Beta_1.2,u_196,55,215,106,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,5,2,1,1,1,0,0,2,1,1,0,0,0,4,0,0,1,3,0,0,0,2,2,1,0,5,1,3,3,0,2,6,39,494,309,18
Beta_1.2,u_197,56,226,83,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,3,2,6,6,1,0,0,2,0,0,1,1,1,3,0,0,2,0,3,2,0,0,0,0,3,0,1,1,3,1,0,5,1,4,33,503,267,38
Beta_1.2,u_198,38,269,96,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,4,0,1,2,3,2,4,3,3,0,0,0,0,0,1,0,0,0,3,1,3,1,0,0,2,3,4,3,2,0,4,6,37,485,301,16
Beta_1.2,u_199,45,266,85,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,1,3,4,1,0,1,1,0,0,0,0,2,1,2,3,1,3,3,2,4,1,1,2,1,0,4,1,1,0,2,3,6,1,3,48,439,315,23
Beta_1.2,u_200,37,250,116,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0,6,0,1,2,4,0,0,1,0,1,1,0,2,0,4,2,1,2,1,3,4,2,4,1,7,3,3,0,1,1,3,4,37,437,321,22
Beta_1.2,u_201,40,234,126,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,1,1,1,1,3,1,2,0,1,1,2,1,0,0,1,2,6,1,0,0,2,5,2,3,1,0,0,4,2,1,0,2,2,2,3,4,8,45,419,304,24
Beta_1.2,u_202,47,216,147,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,2,0,1,2,2,0,3,0,2,0,1,0,1,0,1,2,5,0,1,0,0,2,1,4,5,1,0,0,5,2,6,1,0,4,7,42,396,339,37
Beta_1.2,u_203,46,211,147,1,2,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,3,2,1,0,0,2,1,0,0,3,0,0,3,1,2,0,0,3,0,2,1,1,2,3,4,2,0,0,2,4,6,1,2,36,384,406,26
Beta_1.2,u_204,39,197,153,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,5,0,0,5,0,0,0,0,1,0,2,0,2,1,2,0,0,3,0,1,3,0,3,0,0,2,2,1,2,2,6,3,40,411,397,15
Beta_1.2,u_205,39,211,143,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,2,3,4,4,0,1,0,0,0,0,0,0,5,2,0,0,1,0,2,1,0,2,0,2,2,0,0,2,4,0,3,3,4,2,42,442,356,32
Beta_1.2,u_206,37,209,126,0,0,2,0,0,0,1,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,3,4,0,0,1,0,3,1,2,0,1,0,0,0,0,0,0,0,0,4,6,0,1,2,1,4,4,2,2,2,2,4,43,453,365,17
Beta_1.2,u_207,42,210,112,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,2,4,4,0,0,2,0,1,0,2,0,0,0,1,0,0,4,1,1,1,2,0,1,1,3,1,0,1,1,11,2,2,10,35,484,301,18
Beta_1.2,u_208,52,212,110,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,3,3,1,2,0,0,0,2,1,0,1,0,2,0,1,2,2,0,0,1,1,0,1,1,5,2,1,5,0,1,3,6,42,486,318,23
Beta_1.2,u_209,54,237,90,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,3,2,9,6,0,0,1,0,1,0,1,2,2,0,0,0,2,2,2,1,0,0,0,2,1,0,2,2,1,2,2,2,2,6,35,486,298,20
Beta_1.2,u_210,40,263,96,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,4,0,3,1,3,3,6,3,1,0,0,0,0,1,0,0,0,1,2,3,1,1,0,1,3,2,3,2,1,5,1,8,35,471,297,21
Beta_1.2,u_211,39,272,91,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,3,1,3,3,0,1,0,1,0,0,0,2,1,3,2,2,0,7,1,4,2,0,2,0,2,1,1,2,1,3,0,7,2,2,7,42,440,324,25
Beta_1.2,u_212,39,258,99,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,5,1,1,6,0,0,1,0,0,1,0,1,1,1,2,2,1,4,2,3,3,4,2,6,2,7,1,0,1,1,1,7,42,429,298,24
Beta_1.2,u_213,42,239,122,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,2,0,2,1,1,2,0,0,2,2,0,2,0,1,5,1,1,1,0,4,4,3,1,0,2,1,1,2,1,0,4,3,1,4,4,8,44,409,322,24
Beta_1.2,u_214,46,210,149,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,1,1,1,1,3,0,3,2,0,0,1,1,0,1,4,0,3,2,1,1,0,1,5,3,0,2,0,4,1,6,0,2,4,2,4,38,392,335,35
Beta_1.2,u_215,42,219,137,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,1,1,2,2,1,0,2,0,0,1,3,0,0,3,0,2,1,0,2,1,2,0,2,5,1,2,2,2,1,2,3,6,1,0,8,29,387,383,25
Beta_1.2,u_216,41,221,138,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,2,0,1,0,0,5,0,2,2,0,0,0,1,0,1,1,2,1,0,0,2,3,0,1,3,0,1,1,1,2,1,1,1,5,3,4,6,30,416,381,19
Beta_1.2,u_217,37,211,147,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,2,5,3,1,0,0,0,0,0,0,2,2,0,0,1,0,1,2,0,1,0,3,1,1,0,1,5,1,1,3,3,2,5,40,433,367,24
Beta_1.2,u_218,41,200,124,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,3,3,0,0,1,1,3,2,0,1,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,3,3,2,5,1,1,3,45,464,336,20
Beta_1.2,u_219,42,222,114,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,5,3,0,0,1,1,0,2,0,0,0,0,1,0,4,2,0,0,1,1,2,1,3,0,1,1,1,3,5,2,2,9,34,487,313,22
