Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39
Beta_1.2,u_207,39,164,160,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,4,4,0,0,1,1,0,1,2,0,0,0,0,1,0,0,4,1,1,0,3,0,1,0,3,2,0,0,1,6,8,0,4,9,53,536,230,18
Beta_1.2,u_208,44,181,149,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,2,4,1,2,0,0,0,1,2,0,1,0,0,2,0,1,2,2,0,0,1,1,0,1,1,3,2,3,1,4,0,2,4,5,52,560,235,21
Beta_1.2,u_209,46,200,134,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,3,2,8,7,0,0,0,1,0,1,1,1,1,2,0,0,0,2,2,2,1,0,0,0,2,1,0,1,1,3,0,2,3,3,0,12,47,543,227,16
Beta_1.2,u_210,36,221,142,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,0,0,4,0,1,3,3,0,8,1,4,0,0,0,0,1,0,0,0,0,1,1,4,1,0,1,0,2,3,2,3,1,2,5,1,8,52,518,239,14
Beta_1.2,u_211,36,210,155,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,1,3,1,2,1,0,1,0,0,0,0,2,3,1,3,1,2,5,1,4,2,0,1,1,2,1,1,2,0,3,1,5,3,2,2,9,60,491,255,22
Beta_1.2,u_212,36,189,171,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,2,0,3,3,1,5,1,0,0,1,0,1,0,0,1,1,2,2,1,1,4,2,3,2,5,1,4,5,4,4,0,1,0,2,0,16,50,477,236,21
Beta_1.2,u_213,39,160,203,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,2,1,1,0,2,1,1,2,0,0,2,1,1,0,2,1,1,4,1,2,0,0,4,4,3,1,0,0,3,1,1,2,0,2,3,3,2,2,5,8,61,452,262,23
Beta_1.2,u_214,41,161,203,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,1,0,2,3,0,3,0,2,0,1,1,0,0,1,4,0,4,2,0,1,0,1,4,4,0,1,1,2,2,4,3,2,3,1,2,7,50,455,261,31
Beta_1.2,u_215,40,155,203,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,2,2,1,0,2,0,0,1,1,2,0,1,2,0,2,1,0,2,1,2,0,2,4,2,2,2,0,3,1,2,4,5,0,1,8,44,435,327,17
Beta_1.2,u_216,39,162,199,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,2,0,1,0,0,4,1,2,2,0,0,0,1,0,0,2,2,0,1,0,0,2,3,0,1,2,1,0,2,1,0,2,1,1,2,7,0,4,7,44,476,309,16
