Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48
Beta_1.0,u_001,39,169,91,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,2,2,0,0,1,3,0,2,1,0,0,1,0,0,1,1,0,0,1,3,6,2,6,51,241,255,29
Beta_1.0,u_002,23,193,94,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,1,2,0,1,2,1,0,2,0,0,1,0,0,0,1,1,1,6,0,0,2,3,0,0,1,0,0,0,0,1,0,0,6,51,209,283,83
Beta_1.0,u_003,31,187,85,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,2,2,1,0,0,0,1,0,1,0,1,1,0,3,1,1,0,0,0,0,1,1,1,0,0,0,0,0,2,5,3,2,3,0,12,39,235,263,108
Beta_1.0,u_004,34,133,99,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,1,2,2,0,0,0,1,0,0,1,2,1,1,2,3,1,2,1,1,1,3,1,0,7,5,38,278,261,64
Beta_1.0,u_005,30,131,96,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,4,1,1,3,3,3,1,0,4,2,1,1,0,1,0,5,2,7,39,242,245,87
Beta_1.0,u_006,28,132,94,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,4,0,1,3,4,0,2,8,34,225,303,49
Beta_1.0,u_007,28,131,99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,0,0,0,0,1,0,1,3,0,0,1,10,35,251,304,51
Beta_1.0,u_008,52,78,97,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,2,1,3,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,4,3,0,0,2,0,1,2,34,246,312,59
Beta_1.0,u_009,68,102,72,11,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,2,1,0,1,1,1,9,38,268,342,30
Beta_1.0,u_010,40,161,64,5,1,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,0,2,1,1,1,1,0,1,1,3,2,0,5,24,294,312,32
Beta_1.0,u_011,43,159,84,6,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,0,1,0,0,0,3,1,3,0,0,1,2,2,35,288,316,24
Beta_1.0,u_012,39,141,97,5,2,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,0,2,0,0,1,3,0,1,0,1,0,1,1,0,0,0,0,3,2,0,0,2,50,259,290,25
Beta_1.0,u_013,37,159,77,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,3,5,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,2,0,1,0,0,0,3,2,1,3,0,1,0,2,0,2,1,1,1,4,36,272,278,39
Beta_1.0,u_014,37,166,79,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,8,1,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,3,1,3,2,1,1,2,3,0,4,2,53,253,231,50
Beta_1.0,u_015,37,152,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,1,0,2,2,2,1,0,2,0,2,0,0,1,0,0,1,0,2,1,2,4,7,62,243,203,108
Beta_1.0,u_016,25,198,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,4,0,0,0,0,0,1,1,0,1,3,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,2,0,8,1,2,0,2,0,0,1,2,1,0,4,55,219,277,77
Beta_1.0,u_017,24,194,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,3,2,2,0,0,0,1,0,0,1,2,0,0,2,2,1,0,1,0,0,1,2,1,1,0,0,0,0,0,1,2,9,5,14,37,251,305,51
Beta_1.0,u_018,25,165,92,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,1,3,3,1,0,0,0,0,1,0,1,2,1,1,2,4,2,2,0,1,0,1,4,3,8,42,267,268,58
Beta_1.0,u_019,41,136,107,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,4,2,0,3,1,4,1,3,1,1,0,0,2,0,0,4,8,44,249,285,63
Beta_1.0,u_020,48,119,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,2,0,1,0,0,1,0,0,2,1,0,1,1,2,4,1,3,3,2,2,6,20,257,295,36
Beta_1.0,u_021,52,92,116,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,3,0,1,1,0,0,0,0,0,1,0,1,3,2,5,26,246,319,23
Beta_1.0,u_022,54,93,91,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,3,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,2,2,0,0,2,1,0,2,0,1,28,251,310,63
Beta_1.0,u_023,49,119,66,9,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,1,2,1,1,1,1,6,22,261,368,33
Beta_1.0,u_024,32,170,78,6,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,1,2,0,0,1,2,2,3,2,3,26,282,333,29
Beta_1.0,u_025,30,155,102,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,2,2,3,1,1,3,0,0,1,1,4,33,294,293,31
Beta_1.0,u_026,45,149,88,2,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,2,0,0,0,3,0,0,1,1,0,1,0,2,0,0,0,0,4,6,44,292,225,58
Beta_1.0,u_027,31,168,82,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,1,0,1,1,1,1,2,2,0,0,3,1,0,0,3,7,33,279,217,64
Beta_1.0,u_028,36,165,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,1,4,2,4,0,0,1,2,2,2,2,48,276,204,79
Beta_1.0,u_029,41,175,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,5,4,2,0,0,1,0,2,1,0,0,0,0,0,1,1,2,1,3,8,63,226,251,71
Beta_1.0,u_030,33,209,91,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,3,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,1,0,2,1,0,0,0,0,2,2,0,0,0,2,5,2,0,0,1,1,0,1,10,47,230,319,47
Beta_1.0,u_031,54,170,81,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,0,1,1,2,0,0,0,0,2,2,1,1,0,0,0,4,1,0,1,0,0,0,0,1,2,0,1,1,0,0,2,1,3,16,30,255,320,46
Beta_1.0,u_032,51,127,100,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,7,0,0,0,1,3,0,0,1,1,1,0,0,4,1,1,1,4,1,1,1,0,3,2,5,9,31,287,285,43
Beta_1.0,u_033,54,106,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,7,6,1,1,2,4,2,1,0,0,1,0,2,1,3,12,33,257,317,36
Beta_1.0,u_034,57,104,116,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,2,0,1,1,8,5,1,2,5,7,29,232,317,38
Beta_1.0,u_035,38,98,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,3,4,21,250,316,14
Beta_1.0,u_036,49,109,87,10,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,2,1,0,6,29,238,329,56
Beta_1.0,u_037,35,142,72,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,2,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0,0,1,0,1,3,2,0,1,4,23,290,351,47
Beta_1.0,u_038,23,175,66,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,3,1,2,1,1,3,3,2,27,297,289,44
Beta_1.0,u_039,24,171,95,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,2,1,0,1,1,0,2,0,1,0,2,2,1,0,0,0,1,1,0,2,1,5,25,325,218,55
Beta_1.0,u_040,28,169,94,1,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,1,1,1,1,0,0,2,7,2,1,1,1,0,0,0,1,1,0,5,40,310,199,65
Beta_1.0,u_041,31,164,80,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,5,1,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,0,0,1,1,0,2,1,3,3,0,0,1,10,2,8,42,301,213,57
Beta_1.0,u_042,53,137,82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,0,1,0,1,2,0,0,2,0,0,0,0,0,0,2,3,2,2,2,2,0,3,1,1,5,49,284,238,69
Beta_1.0,u_043,54,163,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,2,0,2,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,2,3,2,1,1,1,2,0,0,0,1,1,0,0,0,3,9,51,239,294,65
Beta_1.0,u_044,41,194,88,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,2,2,0,0,0,0,0,2,1,1,1,3,2,0,1,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,2,2,0,1,1,3,8,54,211,345,47
Beta_1.0,u_045,42,167,96,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,1,1,2,2,2,0,0,1,1,0,0,3,0,0,0,1,4,0,0,1,0,0,1,0,4,1,0,0,2,1,2,1,14,33,254,359,23
Beta_1.0,u_046,44,124,130,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,2,2,1,0,2,3,4,0,0,0,1,2,1,4,1,0,0,2,4,0,2,1,3,0,12,26,282,275,41
Beta_1.0,u_047,44,105,121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,5,1,1,5,2,2,3,4,3,1,1,0,1,0,3,8,7,35,254,314,33
Beta_1.0,u_048,37,113,127,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,1,1,4,3,0,4,3,2,7,9,30,245,277,58
Beta_1.0,u_049,43,114,114,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4,0,1,3,29,257,291,45
Beta_1.0,u_050,54,124,94,6,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,4,2,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,2,0,1,2,5,23,261,322,69
Beta_1.0,u_051,34,158,81,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,2,0,0,2,4,0,2,25,301,327,45
Beta_1.0,u_052,21,185,71,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,2,2,0,0,0,2,1,1,0,0,0,4,0,1,1,1,3,2,28,335,235,46
Beta_1.0,u_053,31,163,105,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,3,3,0,0,0,2,2,1,0,0,2,1,0,1,2,0,3,3,37,323,211,40
Beta_1.0,u_054,46,143,93,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,2,0,1,1,1,0,1,1,2,0,3,3,0,0,1,1,1,6,30,316,223,54
Beta_1.0,u_055,56,129,82,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,1,0,0,2,0,1,0,1,0,0,1,0,0,3,0,1,0,1,1,0,1,0,4,1,2,1,0,1,2,2,1,7,45,311,233,49
Beta_1.0,u_056,54,118,96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,2,1,3,1,1,2,0,1,0,0,0,2,0,1,4,1,0,2,1,0,2,1,4,58,277,242,65
Beta_1.0,u_057,45,162,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,1,2,3,1,0,1,0,3,0,3,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,2,3,0,1,4,1,1,0,0,0,0,9,59,236,342,27
Beta_1.0,u_058,34,196,92,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,2,2,2,0,1,1,2,3,1,0,1,0,3,0,0,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,1,4,3,8,51,242,362,23
Beta_1.0,u_059,29,155,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,2,2,2,0,3,2,2,0,0,1,1,3,2,1,0,0,1,1,3,1,1,1,1,0,0,1,3,2,2,1,0,1,10,36,278,325,29
Beta_1.0,u_060,34,114,135,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,3,2,2,0,2,2,2,2,1,3,2,2,1,4,0,0,2,4,1,2,2,0,4,44,297,257,74
Beta_1.0,u_061,36,105,122,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,1,0,1,5,4,1,0,3,2,3,1,2,1,3,3,6,28,276,269,51
Beta_1.0,u_062,42,113,121,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,1,1,0,1,0,0,0,0,3,1,1,0,0,4,2,1,10,25,251,263,64
Beta_1.0,u_063,51,106,113,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2,0,1,0,7,28,256,293,71
Beta_1.0,u_064,34,141,88,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2,2,0,3,26,273,334,59
Beta_1.0,u_065,24,182,69,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,2,2,1,2,0,1,2,1,1,3,15,307,318,46
Beta_1.0,u_066,31,175,86,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,2,1,2,1,2,2,2,3,23,352,251,36
