Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48
Beta_1.6,u_101,8,52,61,331,120,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,2,2,1,4,2,1,2,4,1,4,0,0,1,1,1,1,3,3,2,2,1,1,0,0,0,3,2,1,3,3,2,5,4,4,1,5,2,3,2,5,18,76,494,356,82,37,2
Beta_1.6,u_102,10,65,73,316,123,4,0,0,1,0,0,0,1,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0,0,1,1,4,4,3,0,1,0,0,1,3,1,0,5,1,1,1,1,1,2,5,0,6,4,5,1,1,1,4,0,1,3,5,1,2,0,1,1,5,7,19,75,498,359,84,41,4
Beta_1.6,u_103,1,73,59,315,100,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,1,0,0,1,1,2,3,2,4,2,3,0,3,0,3,2,0,5,1,0,0,1,0,1,1,1,2,3,0,0,7,1,2,2,1,2,1,4,7,5,7,3,8,20,67,485,401,70,34,4
Beta_1.6,u_104,13,55,53,311,114,3,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,1,0,1,0,0,0,2,4,0,0,2,2,0,2,0,0,0,0,2,1,1,3,3,0,1,3,0,3,0,2,4,2,1,4,2,0,0,0,1,2,2,2,5,1,4,20,92,533,391,96,22,4
Beta_1.6,u_105,8,67,58,302,110,2,0,0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,2,1,3,0,0,0,0,1,2,4,3,1,0,6,4,0,1,0,1,0,0,1,0,1,2,0,1,0,2,0,1,1,3,1,3,1,4,5,4,3,2,4,3,2,2,4,5,30,68,521,375,91,33,1
Beta_1.6,u_106,6,66,60,293,116,3,0,0,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,6,1,1,0,0,0,0,0,1,1,0,0,3,1,0,1,5,4,3,0,0,1,1,2,1,1,2,0,2,4,0,2,2,5,4,2,3,4,19,94,551,376,82,39,2
Beta_1.6,u_107,10,70,40,295,112,6,1,0,1,0,0,0,1,0,0,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,3,1,6,1,2,2,2,2,0,0,0,1,2,1,2,1,0,0,0,0,0,1,0,2,1,3,1,0,5,1,2,4,5,7,1,1,2,1,3,5,23,83,518,338,112,40,4
Beta_1.6,u_108,8,67,70,292,107,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,4,0,0,0,1,0,1,0,0,0,0,2,6,3,1,2,0,2,4,1,0,1,0,0,2,1,4,4,1,2,1,1,0,1,0,2,2,0,1,1,1,1,2,2,1,1,1,5,1,22,73,522,401,81,30,0
Beta_1.6,u_109,6,69,57,320,116,4,0,0,0,1,0,0,2,1,0,1,0,1,0,0,1,2,0,0,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4,1,3,2,3,1,1,2,1,0,0,1,1,3,5,2,3,2,2,0,1,4,4,1,1,0,0,0,4,0,4,2,1,5,1,2,2,3,7,13,77,531,351,82,23,3
Beta_1.6,u_110,3,64,49,327,92,5,0,1,2,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0,1,1,1,0,0,0,0,5,3,2,2,2,2,1,0,0,1,2,0,0,1,0,5,2,1,0,1,4,1,1,2,3,3,0,3,7,3,5,3,3,4,3,4,1,1,9,21,84,525,343,94,23,3
Beta_1.6,u_111,10,45,61,346,126,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,5,0,2,4,2,2,2,0,1,0,0,2,3,1,4,3,2,0,1,0,1,1,1,1,1,3,3,7,2,2,4,6,1,3,1,2,7,25,87,499,348,86,24,2
Beta_1.6,u_112,9,66,68,306,110,3,0,0,0,1,0,0,1,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,1,6,4,3,2,1,1,1,0,2,0,0,1,7,0,0,1,2,4,1,4,4,5,2,1,2,0,2,2,4,1,2,4,2,1,0,1,2,2,4,20,90,502,343,77,43,5
Beta_1.6,u_113,2,74,71,323,98,6,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,2,1,4,3,3,1,1,2,1,1,3,1,2,1,2,0,3,0,1,1,2,0,2,1,1,1,2,5,3,0,1,4,5,2,7,4,4,1,5,5,25,69,526,373,87,34,2
Beta_1.6,u_114,10,58,58,322,102,2,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,1,0,0,1,1,3,1,2,0,1,1,0,2,1,0,2,1,2,2,4,0,0,3,2,1,0,2,5,3,2,1,3,0,3,0,0,2,2,3,2,1,1,8,20,79,569,353,96,24,4
