Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41
Beta_1.4,u_172,25,82,313,62,1,2,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,2,6,3,0,0,1,0,0,2,1,1,2,1,3,0,1,0,2,1,2,0,0,3,1,3,2,2,1,0,0,3,1,0,2,7,37,359,596,60,12
Beta_1.4,u_173,37,71,318,60,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,0,0,0,0,0,2,1,4,2,2,0,1,0,0,0,2,3,2,1,2,0,4,2,2,0,3,3,1,1,1,2,5,37,336,585,58,9
Beta_1.4,u_174,35,72,340,51,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,10,4,3,1,4,1,0,1,0,0,1,0,0,1,0,1,1,1,2,1,3,1,2,1,1,0,0,3,6,4,2,3,1,10,35,349,548,51,3
Beta_1.4,u_175,31,70,359,58,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,2,5,4,1,0,0,4,2,3,3,2,2,3,1,6,0,0,3,1,1,0,1,1,1,1,2,0,1,3,2,3,2,4,4,3,43,341,501,70,19
Beta_1.4,u_176,27,64,389,71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,1,1,0,0,0,0,2,7,0,5,0,0,1,0,1,3,1,1,1,1,0,0,0,6,4,6,2,2,3,2,2,4,5,1,1,1,1,1,2,0,12,38,329,501,79,6
Beta_1.4,u_177,23,73,390,63,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,3,3,1,2,1,0,1,3,3,0,0,1,1,4,1,1,1,0,0,0,4,2,2,0,2,1,0,0,6,8,6,1,3,3,15,49,334,490,89,10
Beta_1.4,u_178,18,61,405,67,0,0,0,0,2,1,1,1,0,0,0,2,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,2,0,0,1,2,1,0,1,3,1,0,1,2,0,0,0,3,2,5,2,0,1,0,6,4,1,0,1,0,2,5,1,2,9,33,336,498,80,20
Beta_1.4,u_179,18,57,403,60,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,2,1,0,2,1,2,0,0,0,0,0,0,0,3,2,3,0,0,2,3,0,0,0,4,1,0,1,5,3,5,1,4,4,8,37,316,537,100,14
Beta_1.4,u_180,30,48,373,58,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,2,1,0,1,1,0,2,1,1,0,0,1,2,0,0,0,0,1,0,0,2,1,2,3,1,0,0,1,2,0,0,0,2,4,3,2,1,3,1,0,3,9,31,310,593,78,18
Beta_1.4,u_181,35,53,338,62,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,4,6,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,3,3,2,5,0,1,2,1,2,1,8,31,348,603,73,9
Beta_1.4,u_182,32,63,310,49,1,0,0,0,1,1,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,7,2,1,0,2,0,1,1,1,0,0,1,1,1,2,0,0,1,0,1,0,2,1,0,2,4,1,0,2,1,3,1,2,11,39,371,584,71,16
Beta_1.4,u_183,25,82,307,61,4,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,5,1,3,0,1,0,0,2,0,0,5,0,0,3,1,0,0,3,1,1,2,1,1,4,1,3,0,0,0,0,2,1,1,6,45,362,591,54,14
Beta_1.4,u_184,37,71,329,65,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,0,0,0,2,2,5,2,0,0,1,0,0,0,3,2,0,4,1,0,1,4,4,0,3,2,0,2,3,5,39,342,575,70,11
