Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_1.8,u_069,7,84,77,67,113,50,9,5,4,2,0,1,0,0,0,3,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,2,1,0,0,0,0,0,0,3,5,2,2,3,0,1,6,0,1,1,4,5,0,0,4,0,2,0,4,4,1,3,5,5,5,3,3,6,7,6,5,11,5,10,28,78,219,317,226,113,42,9
Beta_1.8,u_070,9,72,74,99,133,53,11,4,1,1,1,0,1,0,1,0,0,0,0,0,1,0,2,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,2,3,4,1,4,1,0,2,3,3,7,2,5,3,2,4,6,3,2,2,3,0,6,6,7,5,7,2,0,3,9,0,6,7,7,8,30,85,217,327,217,71,35,5
Beta_1.8,u_071,9,98,67,85,119,57,11,17,2,4,2,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,1,4,1,0,0,0,1,4,8,1,1,1,2,5,1,3,0,4,1,2,3,0,2,1,1,1,5,8,4,6,5,5,8,7,3,6,7,3,7,9,12,31,35,83,214,317,135,71,52,3
Beta_1.8,u_072,10,70,87,123,104,44,11,8,2,4,1,1,0,0,0,3,0,2,1,1,0,1,1,0,0,1,0,0,1,2,2,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,5,2,2,1,0,2,2,1,2,5,1,1,2,2,2,1,2,4,0,4,0,2,2,9,5,3,6,4,8,7,8,7,14,17,41,95,229,277,155,74,41,7
Beta_1.8,u_073,8,65,72,108,158,43,5,2,1,0,1,1,0,2,1,1,2,0,0,0,1,0,0,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,2,1,1,2,2,3,0,0,1,3,1,2,1,1,0,3,1,2,3,3,2,7,1,4,4,5,4,3,1,7,2,6,8,7,14,14,26,91,228,274,173,79,55,4
Beta_1.8,u_074,6,67,69,129,116,58,10,0,4,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,1,0,1,0,2,1,1,2,1,3,1,0,0,0,0,1,3,0,1,2,3,3,1,0,0,1,1,1,3,3,1,0,1,1,1,2,3,1,2,4,3,1,5,2,10,8,9,24,22,41,93,216,311,183,85,53,12
Beta_1.8,u_075,13,63,75,95,154,42,16,8,2,2,0,2,0,3,0,2,0,0,0,1,0,2,0,1,1,1,2,1,1,1,1,0,0,2,2,0,0,0,0,0,4,1,3,1,0,0,1,0,7,2,0,1,2,0,2,0,0,0,2,0,2,1,0,0,2,2,6,0,3,3,1,0,5,4,6,6,7,2,9,7,11,25,43,97,212,260,192,110,74,2
Beta_1.8,u_076,6,78,70,82,130,48,13,3,1,0,2,3,1,1,2,0,0,1,0,3,1,0,0,0,0,0,0,1,1,1,2,1,1,1,1,2,1,0,2,0,1,1,1,0,0,0,2,2,2,1,4,2,2,1,2,0,1,2,1,4,3,0,1,2,2,3,3,4,2,3,1,4,3,0,3,3,2,7,7,13,14,26,34,76,230,313,219,105,47,4
Beta_1.8,u_077,9,90,81,79,107,42,14,3,0,1,1,0,0,1,1,1,2,2,1,0,2,2,1,1,0,0,2,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,3,2,6,4,0,1,0,1,0,1,2,1,2,1,1,2,3,0,0,7,2,1,3,9,2,3,1,5,10,8,6,11,18,31,74,250,334,221,61,38,10
Beta_1.8,u_078,17,83,82,73,110,40,6,3,4,2,2,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,1,0,0,0,2,3,0,1,2,3,1,1,0,1,3,1,3,2,2,2,5,5,0,4,0,2,3,2,3,1,6,3,2,4,5,8,4,7,11,16,36,115,234,336,188,71,33,1
Beta_1.8,u_079,14,79,87,88,125,42,15,2,4,1,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,4,2,0,2,4,3,3,5,3,1,5,5,2,3,4,4,2,3,4,3,2,1,5,4,3,6,5,4,6,7,8,6,5,28,43,99,215,328,190,59,38,5
