Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_ 1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_1.6,u_384,9,59,62,429,49,0,2,0,0,0,0,0,0,1,0,1,1,0,0,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2,1,1,1,1,4,1,1,1,0,0,1,1,3,1,1,1,0,1,2,0,1,0,2,2,0,0,1,7,2,4,5,1,1,2,1,7,52,373,518,104,40,2
Beta_1.6,u_385,6,57,60,419,56,2,0,1,2,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,0,3,4,0,1,0,2,0,1,0,0,1,0,1,2,1,0,3,3,2,1,0,1,1,1,2,0,2,5,2,2,1,1,4,1,2,5,16,47,379,579,136,25,1
Beta_1.6,u_386,12,65,42,392,50,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,3,0,0,0,2,1,0,0,1,0,2,3,5,1,1,0,0,3,1,1,2,3,0,2,5,2,3,0,2,5,4,6,2,2,1,3,15,46,408,558,69,34,4
Beta_1.6,u_387,4,76,46,396,57,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,3,3,4,2,3,0,1,0,0,0,0,0,1,1,0,0,0,1,3,2,0,0,2,2,0,3,3,6,3,1,1,4,2,5,1,1,4,4,15,55,384,594,88,25,5
Beta_1.6,u_388,10,74,39,414,61,3,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,2,3,1,1,2,2,2,2,1,0,1,0,1,1,2,1,0,4,0,0,0,0,0,0,2,2,3,0,0,1,2,5,1,3,3,1,6,16,47,393,561,77,34,4
Beta_1.6,u_389,15,58,53,397,49,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0,3,0,0,0,0,3,2,5,0,3,1,2,0,0,1,0,2,0,0,3,2,2,4,0,2,3,2,1,0,1,1,5,2,3,3,4,0,0,4,2,4,8,52,387,579,90,40,3
Beta_1.6,u_390,6,55,76,415,62,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,2,5,5,2,0,0,1,0,1,1,2,3,1,1,4,4,1,1,3,0,1,2,2,1,1,0,2,2,1,2,2,3,4,2,5,3,2,7,12,45,395,568,87,30,0
Beta_1.6,u_391,6,65,51,424,58,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,3,1,2,2,2,1,0,0,0,2,0,2,4,1,2,1,1,3,2,0,0,2,3,3,3,4,5,1,5,5,1,1,3,1,5,1,1,2,12,43,405,503,74,27,0
Beta_1.6,u_392,9,61,54,412,62,4,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,3,2,0,0,0,1,3,0,4,0,3,5,1,0,0,1,0,1,2,3,2,2,0,0,0,3,3,0,0,9,1,2,0,3,2,5,0,1,2,4,5,8,11,54,395,499,82,38,1
Beta_1.6,u_393,11,55,55,432,50,3,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,3,0,0,1,0,1,0,1,0,0,0,1,2,3,4,1,0,0,0,1,0,0,0,2,1,0,0,4,0,3,3,5,2,0,2,0,1,1,3,6,2,3,0,0,0,3,4,1,12,16,44,389,508,89,44,8
