Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36
Beta_1.4,u_348,46,103,364,6,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,5,1,0,2,1,0,0,1,0,2,0,0,4,1,2,3,1,4,1,1,2,0,0,1,2,2,2,5,4,17,133,812,103,13
Beta_1.4,u_349,46,113,351,9,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,11,5,1,0,0,0,2,0,2,0,0,1,2,2,1,2,1,2,2,0,1,0,5,2,5,2,5,2,5,12,114,783,89,24
Beta_1.4,u_350,37,113,390,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,2,0,0,3,7,0,3,1,2,2,4,2,4,3,1,0,1,0,1,3,1,2,1,1,0,3,3,4,0,2,2,1,0,16,129,726,138,8
Beta_1.4,u_351,44,95,416,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,2,1,0,1,7,7,1,0,0,0,2,3,1,1,2,5,2,2,3,5,3,2,3,2,2,0,0,2,4,3,5,1,2,12,126,687,115,15
Beta_1.4,u_352,31,95,428,8,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,6,2,0,3,2,0,2,2,3,4,1,0,0,0,2,0,3,6,1,1,6,4,0,3,4,4,2,6,4,12,122,701,129,14
Beta_1.4,u_353,21,97,468,9,0,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,3,1,1,1,0,0,2,6,4,0,1,2,0,2,0,3,0,1,4,4,3,0,0,2,0,2,8,2,5,18,128,666,149,12
Beta_1.4,u_354,31,66,445,14,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,2,0,2,0,1,0,2,0,0,2,0,0,1,0,0,3,1,3,1,1,0,1,4,2,5,2,0,2,1,3,2,2,2,3,8,10,122,695,143,25
Beta_1.4,u_355,31,71,405,12,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,2,0,0,2,4,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,2,0,0,5,2,4,2,2,0,4,5,5,3,14,121,756,158,17
Beta_1.4,u_356,38,66,383,5,1,0,0,1,1,1,1,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,3,3,0,0,2,2,2,0,0,1,0,1,1,2,0,1,0,1,0,0,0,2,3,1,0,4,3,1,1,12,18,132,780,145,16
Beta_1.4,u_357,33,92,359,8,0,0,2,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,2,7,3,1,0,0,0,0,1,0,0,0,0,4,3,2,1,0,0,1,4,3,3,1,1,0,2,0,3,2,18,122,801,141,24
Beta_1.4,u_358,41,96,344,10,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,2,4,1,0,0,2,1,3,0,2,4,3,0,0,0,0,0,1,1,3,1,2,1,6,3,2,2,0,1,4,10,126,824,128,13
