Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31
Beta_1.0,u_001,108,192,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,3,1,1,2,0,0,0,0,0,0,0,7,1,2,3,0,3,1,3,0,1,0,0,2,0,2,5,6,50,386,145
Beta_1.0,u_002,122,189,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,5,2,0,0,0,0,2,1,1,3,1,1,1,0,0,1,2,6,0,4,1,0,1,0,0,1,0,51,363,218
Beta_1.0,u_003,91,212,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4,0,4,1,0,1,0,1,1,1,4,1,0,0,1,1,1,0,0,0,7,3,5,1,42,407,207
Beta_1.0,u_004,83,185,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,0,0,1,1,0,3,0,3,2,1,0,1,0,2,2,1,5,2,2,1,4,1,8,32,418,195
Beta_1.0,u_005,104,155,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,5,3,4,4,1,5,1,1,1,5,2,37,385,198
Beta_1.0,u_006,91,163,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,2,2,0,0,2,1,1,1,1,0,0,2,4,1,4,3,4,37,389,191
Beta_1.0,u_007,96,164,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,8,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,3,2,0,2,0,0,1,1,3,0,2,40,419,191
Beta_1.0,u_008,84,144,8,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,2,3,3,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,5,3,0,2,1,30,422,201
Beta_1.0,u_009,108,135,10,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,2,2,1,0,0,1,0,0,0,1,0,4,1,0,0,0,1,2,0,0,3,0,1,0,2,1,2,1,40,445,202
Beta_1.0,u_010,104,161,6,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,3,0,2,1,2,1,1,2,4,1,25,470,171
Beta_1.0,u_011,93,195,6,0,1,0,0,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,0,1,0,0,0,0,1,2,0,0,1,0,1,2,0,0,3,3,1,1,3,26,473,165
Beta_1.0,u_012,90,189,5,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,1,1,1,0,0,0,0,1,1,1,0,0,1,2,2,0,4,0,1,1,1,1,0,0,4,1,0,40,438,148
Beta_1.0,u_013,103,173,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,7,1,1,0,0,1,0,1,1,0,0,0,1,3,1,1,0,3,3,3,0,1,2,2,2,3,30,416,181
Beta_1.0,u_014,103,180,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,1,0,0,0,0,0,8,1,2,0,1,0,1,0,1,0,1,0,2,2,3,4,2,2,3,2,5,40,391,157
Beta_1.0,u_015,103,173,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,3,1,0,3,1,0,0,0,1,0,0,0,1,5,5,2,4,1,1,1,2,0,1,0,1,2,1,6,58,381,184
Beta_1.0,u_016,126,188,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,3,2,0,0,1,1,1,4,1,0,1,1,1,1,0,0,0,2,8,1,2,2,0,1,3,0,51,377,204
Beta_1.0,u_017,102,198,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,3,3,1,0,1,0,1,2,0,4,1,1,0,1,3,1,0,0,0,1,11,6,41,420,196
Beta_1.0,u_018,108,174,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,4,1,5,2,0,0,1,0,3,2,2,6,2,1,0,5,4,37,442,163
Beta_1.0,u_019,107,177,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,0,2,0,0,0,0,0,0,2,1,1,1,5,3,3,4,2,3,2,0,2,0,8,40,406,199
Beta_1.0,u_020,96,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,2,1,1,2,1,0,1,0,2,1,2,2,5,3,5,4,22,424,166
Beta_1.0,u_021,86,175,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,4,2,0,0,1,0,0,0,2,0,0,0,1,0,1,0,2,0,2,1,1,1,0,0,1,0,4,5,22,424,170
Beta_1.0,u_022,90,152,4,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,3,2,0,0,3,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,4,0,1,2,1,1,25,433,195
Beta_1.0,u_023,99,136,8,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,1,4,0,0,2,2,2,3,23,436,229
Beta_1.0,u_024,99,181,6,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,0,1,2,1,0,3,5,2,21,453,199
Beta_1.0,u_025,77,210,3,0,1,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,2,3,3,4,0,1,3,29,467,157
Beta_1.0,u_026,101,181,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,3,1,0,0,0,0,0,0,0,1,0,0,1,2,2,2,0,2,1,1,1,1,0,2,0,0,6,35,433,155
Beta_1.0,u_027,99,183,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,5,3,0,1,1,0,0,0,0,0,1,1,1,3,1,1,1,1,3,2,1,3,1,0,7,27,415,154
Beta_1.0,u_028,116,166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,0,0,1,7,1,0,1,1,1,0,0,0,2,0,0,2,6,4,0,2,3,2,35,414,160
Beta_1.0,u_029,136,160,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,1,4,1,0,1,0,0,0,1,0,0,0,4,7,2,0,1,2,1,0,0,1,2,2,4,58,374,186
Beta_1.0,u_030,152,181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,0,0,1,0,4,2,1,0,1,0,2,1,0,1,3,0,0,5,4,0,1,1,3,49,405,197
Beta_1.0,u_031,114,191,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,1,3,0,0,1,3,2,0,0,5,0,1,0,0,2,1,1,1,1,2,7,38,443,182
Beta_1.0,u_032,88,190,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,5,3,0,2,2,0,1,2,0,4,2,1,6,1,2,2,9,32,463,157
Beta_1.0,u_033,87,201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,9,5,2,6,1,1,1,1,1,7,38,418,196
Beta_1.0,u_034,99,179,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,0,1,2,2,0,0,1,0,0,2,1,1,9,5,3,7,28,400,193
Beta_1.0,u_035,78,175,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,1,0,0,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,2,4,17,378,210
Beta_1.0,u_036,95,153,7,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,3,0,0,0,1,2,0,31,399,228
Beta_1.0,u_037,98,154,8,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,3,0,0,3,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,0,1,1,3,2,2,19,468,227
Beta_1.0,u_038,93,171,10,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,3,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,4,3,2,3,3,21,489,149
Beta_1.0,u_039,87,203,5,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,1,7,0,2,0,2,1,1,3,1,0,1,1,2,1,24,471,133
Beta_1.0,u_040,110,182,3,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,7,1,2,0,0,0,0,0,0,0,2,0,0,2,2,1,2,1,0,3,8,1,2,0,0,2,1,35,445,138
Beta_1.0,u_041,119,157,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,6,1,0,2,0,0,0,0,1,1,1,3,1,1,0,1,1,3,4,2,1,4,10,41,429,149
Beta_1.0,u_042,122,150,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,5,1,0,0,0,1,1,0,1,0,5,1,1,2,1,0,2,0,0,0,2,4,3,4,1,3,2,44,415,185
Beta_1.0,u_043,131,172,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,4,2,1,1,1,3,1,0,0,1,1,0,0,0,0,3,1,2,5,1,2,2,0,0,2,0,0,5,53,382,221
Beta_1.0,u_044,128,195,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,3,2,2,0,0,1,2,1,4,2,1,0,1,0,2,2,1,0,0,0,1,0,2,3,0,4,52,421,192
Beta_1.0,u_045,81,225,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,1,2,4,1,1,1,0,3,0,0,5,0,1,0,1,1,4,0,2,3,3,38,471,172
Beta_1.0,u_046,78,220,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,4,2,2,1,5,4,0,0,3,2,4,0,3,3,2,4,4,30,447,155
Beta_1.0,u_047,79,191,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,1,6,4,4,4,3,1,1,3,8,39,393,211
Beta_1.0,u_048,91,186,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,1,0,0,2,4,3,6,3,9,30,398,189
Beta_1.0,u_049,94,178,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,4,3,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,2,4,1,25,394,206
Beta_1.0,u_050,120,153,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,1,0,6,2,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,2,1,4,24,435,219
Beta_1.0,u_051,108,165,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,3,0,0,2,1,1,1,0,0,2,0,1,0,0,0,0,1,1,1,0,0,4,0,2,1,5,0,26,496,178
Beta_1.0,u_052,78,200,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,0,4,0,0,3,1,0,1,3,1,2,4,22,495,128
Beta_1.0,u_053,92,207,4,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,1,0,0,1,0,0,0,2,1,0,1,5,0,0,3,2,0,2,1,1,2,3,30,464,120
Beta_1.0,u_054,103,179,5,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,4,0,2,1,0,0,0,0,1,1,1,1,1,1,0,2,1,2,1,2,1,3,3,0,2,4,29,456,141
Beta_1.0,u_055,104,164,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,1,0,0,3,1,1,1,1,1,0,1,0,3,1,1,1,0,1,5,2,1,2,3,3,36,442,165
Beta_1.0,u_056,92,176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,6,0,4,0,1,0,1,1,3,3,2,1,1,2,50,408,188
Beta_1.0,u_057,107,179,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,5,1,0,4,0,3,0,1,0,1,0,1,1,1,1,0,1,0,0,5,0,6,1,0,0,4,58,406,205
Beta_1.0,u_058,102,220,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,2,1,3,3,1,1,1,2,0,1,1,1,3,1,0,0,0,0,1,0,1,4,5,51,470,164
Beta_1.0,u_059,74,239,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,3,3,2,3,2,1,1,3,3,0,1,4,1,2,1,0,1,5,3,0,3,37,478,161
Beta_1.0,u_060,71,213,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,3,2,0,0,1,0,0,0,0,3,0,0,3,2,2,2,2,4,4,2,3,4,1,5,1,4,0,42,446,188
Beta_1.0,u_061,79,185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,3,0,2,0,0,0,5,0,0,0,0,1,1,0,0,1,3,1,1,1,6,4,1,4,4,2,4,4,29,434,166
Beta_1.0,u_062,90,187,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,0,1,0,1,1,1,0,0,0,0,0,0,2,2,0,1,1,1,1,0,0,2,2,1,0,6,4,26,410,174
Beta_1.0,u_063,101,170,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,2,0,0,1,0,0,0,1,2,1,0,1,1,0,0,0,0,0,2,0,1,0,2,2,1,4,22,417,212
Beta_1.0,u_064,108,155,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,6,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,1,1,1,1,0,0,1,0,3,2,23,472,199
Beta_1.0,u_065,88,188,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,3,2,1,2,2,16,510,163
Beta_1.0,u_066,82,210,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,1,3,0,0,0,2,1,0,1,1,1,1,2,2,2,3,3,22,518,125
Beta_1.0,u_067,99,208,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,1,0,0,0,1,0,0,0,1,1,1,1,0,2,0,2,4,2,0,0,0,2,1,2,3,32,492,117
Beta_1.0,u_068,80,178,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,3,4,0,0,1,1,1,0,1,2,0,1,0,1,5,0,2,0,2,0,2,3,1,1,27,459,161
Beta_1.0,u_069,85,188,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,3,1,0,0,1,0,1,0,0,0,1,6,0,0,0,1,3,1,1,1,1,1,2,0,4,1,3,3,22,454,189
Beta_1.0,u_070,101,158,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,4,2,1,0,2,1,0,0,1,1,0,0,0,1,0,0,1,6,3,1,1,2,5,1,1,1,4,37,438,191
Beta_1.0,u_071,104,207,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,4,1,1,4,1,2,0,2,0,0,0,3,1,1,0,0,2,0,0,0,0,3,0,6,5,0,4,39,460,176
Beta_1.0,u_072,84,233,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,2,2,1,1,3,4,1,0,3,0,2,2,0,2,2,0,0,0,1,2,0,1,1,35,494,158
Beta_1.0,u_073,74,248,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,6,2,2,2,1,1,0,6,2,2,4,1,1,0,1,5,3,0,2,20,494,158
Beta_1.0,u_074,82,232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,1,0,1,0,1,1,1,0,0,0,3,3,3,2,6,2,1,3,1,7,1,7,2,1,31,456,176
Beta_1.0,u_075,84,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,1,0,1,2,0,0,2,1,2,0,3,2,3,5,3,3,2,3,2,39,441,142
Beta_1.0,u_076,95,198,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,1,1,0,0,0,0,0,2,0,2,0,1,1,0,3,0,1,1,1,0,1,4,7,35,422,161
Beta_1.0,u_077,103,184,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,4,1,0,0,1,2,1,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,3,0,3,19,433,206
Beta_1.0,u_078,93,168,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,1,3,3,0,0,0,0,1,0,0,0,0,2,1,0,1,2,1,2,1,0,0,1,1,0,0,2,3,28,493,195
Beta_1.0,u_079,80,202,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,1,0,2,2,0,6,1,0,4,1,5,19,532,143
Beta_1.0,u_080,81,215,1,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,2,1,0,0,1,0,0,0,0,0,1,1,2,1,1,0,2,0,1,0,3,0,1,3,3,3,23,534,112
Beta_1.0,u_081,77,198,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,10,0,0,0,1,2,0,0,0,2,1,2,1,0,2,0,3,2,1,0,2,1,1,2,1,25,507,126
Beta_1.0,u_082,78,182,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,0,0,6,2,0,1,0,0,2,3,1,2,0,4,2,1,0,1,0,2,5,1,33,462,160
Beta_1.0,u_083,81,178,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,3,1,1,1,0,1,0,0,0,0,1,0,0,1,0,7,2,0,2,0,2,4,3,0,1,4,2,2,28,453,178
Beta_1.0,u_084,97,183,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,6,2,0,1,1,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,1,8,2,2,1,2,5,35,469,194
Beta_1.0,u_085,94,226,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,4,0,0,4,1,3,0,1,0,0,0,4,1,0,1,0,1,1,0,1,0,1,0,0,0,7,49,470,161
Beta_1.0,u_086,80,245,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,5,1,2,2,1,0,2,5,2,0,3,0,2,0,0,2,2,0,1,1,1,1,0,3,35,495,171
Beta_1.0,u_087,73,253,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,0,1,0,1,1,6,1,2,2,0,1,0,5,5,1,4,0,2,2,2,2,4,2,39,488,162
Beta_1.0,u_088,84,225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,2,1,0,0,0,0,0,3,2,8,1,4,3,1,2,2,9,0,6,1,30,473,157
Beta_1.0,u_089,94,196,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,1,0,2,0,3,0,3,6,2,3,2,4,40,438,156
Beta_1.0,u_090,109,198,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,0,2,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,2,2,1,0,1,0,1,5,29,459,161
Beta_1.0,u_091,85,190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,2,4,0,0,0,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,4,3,27,464,182
Beta_1.0,u_092,100,183,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,2,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,1,0,1,2,0,2,0,2,24,512,172
Beta_1.0,u_093,76,210,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,2,3,1,0,0,0,2,2,0,0,0,0,0,0,0,1,2,0,1,0,2,1,4,3,1,2,1,20,527,124
Beta_1.0,u_094,79,220,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,4,0,0,0,0,0,3,4,0,0,1,0,0,3,0,2,2,2,0,4,32,512,143
Beta_1.0,u_095,74,209,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,2,0,1,0,0,0,1,1,8,2,0,2,0,1,1,4,2,1,2,0,0,38,484,157
Beta_1.0,u_096,92,191,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,4,0,1,3,1,4,0,1,1,3,3,29,465,177
Beta_1.0,u_097,83,190,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,3,0,3,0,2,4,11,23,472,165
Beta_1.0,u_098,116,195,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,3,2,4,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,2,0,2,0,3,2,2,44,457,190
Beta_1.0,u_099,102,237,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,3,2,0,0,5,0,2,3,1,0,1,2,2,2,0,0,1,0,1,0,0,1,0,0,1,1,41,500,170
Beta_1.0,u_100,79,247,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,2,3,2,1,0,1,5,0,0,3,3,2,0,0,2,3,1,0,2,1,1,2,34,508,167
