Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31
Beta_1.0,u_345,90,182,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,3,2,1,3,2,2,3,26,558,161
Beta_1.0,u_346,87,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,2,1,1,1,1,2,1,1,4,31,574,151
Beta_1.0,u_347,88,220,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,4,0,1,1,0,0,0,0,3,2,0,0,2,0,0,1,1,0,0,1,0,1,4,1,1,35,559,153
Beta_1.0,u_348,94,223,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,5,3,0,2,0,2,4,0,1,0,2,0,0,0,4,0,1,1,2,0,1,0,1,0,0,2,33,587,143
Beta_1.0,u_349,95,246,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,7,0,2,2,0,2,0,0,5,2,1,2,0,1,0,0,4,4,1,0,3,4,29,582,134
Beta_1.0,u_350,76,253,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,1,0,7,1,1,4,2,2,0,0,0,8,2,2,2,2,0,2,38,561,110
Beta_1.0,u_351,93,252,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,1,2,2,2,1,1,1,2,1,9,0,2,2,1,4,0,6,2,34,529,131
Beta_1.0,u_352,95,255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,3,4,1,0,0,3,0,9,1,4,29,521,131
Beta_1.0,u_353,83,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0,1,5,2,0,0,0,1,0,1,0,2,1,0,0,2,0,1,1,2,2,5,3,1,27,505,166
Beta_1.0,u_354,89,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1,4,0,1,0,1,0,0,1,0,0,0,4,1,1,0,1,1,1,1,3,0,4,0,0,1,3,1,38,510,152
