Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33
Beta_1.2,u_181,50,295,45,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,5,3,2,1,0,0,0,0,0,0,3,4,0,1,0,2,2,0,0,1,3,2,1,2,4,2,3,3,21,211,604,55
Beta_1.2,u_182,48,259,41,2,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,5,1,2,0,0,1,0,4,1,2,1,0,0,0,0,0,1,1,2,6,0,4,3,5,2,0,3,5,20,241,576,29
Beta_1.2,u_183,57,266,32,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,2,5,3,0,0,0,2,0,1,2,0,0,0,2,0,1,4,1,3,0,3,1,2,2,1,1,4,10,2,16,278,526,32
Beta_1.2,u_184,59,252,51,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,7,0,0,3,1,0,0,3,1,0,0,2,2,0,1,1,2,0,1,1,3,1,0,5,4,1,2,2,23,269,537,26
Beta_1.2,u_185,67,279,36,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,3,1,8,6,1,0,1,1,1,0,1,1,1,3,0,1,0,3,2,0,0,0,4,0,0,3,2,1,1,5,20,276,504,54
Beta_1.2,u_186,53,308,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,4,0,0,3,4,2,4,4,1,0,0,0,0,1,0,2,0,2,0,3,1,1,3,5,3,2,0,8,17,308,489,28
Beta_1.2,u_187,58,313,30,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,1,1,2,7,1,0,1,0,1,0,1,0,1,2,3,2,3,4,4,3,1,0,2,3,2,1,0,3,3,5,3,22,283,501,40
Beta_1.2,u_188,49,323,39,1,0,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,1,0,5,0,1,3,5,0,0,1,0,0,1,2,4,2,1,1,2,5,2,4,3,3,4,5,1,0,4,0,21,273,497,30
Beta_1.2,u_189,53,310,33,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1,4,3,0,0,1,0,3,0,0,0,3,2,6,1,2,2,2,2,3,1,3,2,1,1,0,2,1,6,3,24,250,482,47
Beta_1.2,u_190,60,299,47,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,2,0,2,2,0,1,3,1,1,0,1,1,0,1,2,4,1,1,0,0,2,4,4,3,0,3,3,5,3,2,3,17,226,507,58
Beta_1.2,u_191,56,298,42,2,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,0,1,1,1,1,4,2,1,0,0,3,0,0,0,1,0,4,0,2,0,1,2,1,2,2,1,5,1,1,0,1,3,7,3,21,205,562,43
Beta_1.2,u_192,49,302,47,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,5,0,0,6,0,0,0,1,1,1,0,3,2,0,0,0,2,1,1,3,2,0,0,3,3,0,3,4,19,218,601,24
Beta_1.2,u_193,51,288,46,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,3,3,4,0,1,0,0,0,0,0,3,4,0,0,1,1,2,1,0,1,3,1,1,1,2,2,2,5,3,17,212,598,53
