Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44
Beta_1.0,u_015,45,182,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,8,2,0,2,4,0,1,1,1,2,0,0,1,0,0,1,0,2,1,3,4,40,212,250,120
Beta_1.0,u_016,40,220,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,0,0,1,1,0,2,3,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,8,1,2,0,2,0,0,2,2,0,1,36,174,325,96
Beta_1.0,u_017,36,222,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,3,2,2,0,0,0,1,0,1,2,0,0,2,2,1,1,0,0,0,1,3,1,0,0,0,0,0,1,10,4,5,28,186,372,69
Beta_1.0,u_018,36,199,47,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,4,3,1,0,0,0,1,0,0,2,1,2,1,5,2,2,0,1,0,3,4,5,17,202,350,70
Beta_1.0,u_019,65,159,60,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,2,4,2,2,1,5,1,2,2,1,0,1,1,0,2,6,24,206,338,77
Beta_1.0,u_020,58,160,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,2,0,1,0,0,1,0,0,3,0,1,1,2,5,0,3,4,2,3,14,186,354,58
Beta_1.0,u_021,56,125,87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,1,0,1,0,0,0,0,1,0,4,1,4,16,189,364,47
Beta_1.0,u_022,61,110,72,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,0,1,3,1,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,2,2,0,0,3,0,1,1,0,15,183,380,75
Beta_1.0,u_023,59,127,51,6,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,1,2,1,2,0,4,15,198,425,49
Beta_1.0,u_024,39,194,48,5,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,1,2,0,0,2,1,4,2,2,12,198,422,40
