Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38
Beta_1.2,u_068,45,193,151,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,1,2,0,0,0,0,1,0,0,2,1,1,2,0,1,5,3,1,1,6,3,1,0,0,1,2,4,0,0,2,3,4,16,48,428,281,21
Beta_1.2,u_069,42,175,180,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,2,0,0,2,5,2,3,2,2,0,1,0,0,1,0,3,2,0,3,1,0,0,1,2,0,0,1,1,2,9,1,1,4,1,0,2,8,61,418,299,40
Beta_1.2,u_070,45,186,167,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,3,4,0,2,0,2,4,2,1,0,3,0,3,0,1,2,0,1,1,1,0,1,2,1,1,3,0,0,2,2,1,1,2,11,38,407,365,22
Beta_1.2,u_071,37,188,189,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,4,1,0,0,1,2,0,0,0,2,1,0,1,3,5,0,1,1,4,0,1,2,1,0,2,1,1,1,1,2,1,2,8,43,452,335,24
Beta_1.2,u_072,29,192,182,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,4,0,1,0,0,0,1,0,0,0,1,0,3,1,0,0,1,1,3,0,1,0,6,1,2,1,3,4,4,1,1,5,38,497,322,22
Beta_1.2,u_073,38,187,163,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,3,2,1,2,1,0,0,2,1,2,0,0,1,0,1,0,1,2,0,0,2,1,1,4,2,0,2,3,1,4,2,2,8,8,38,510,289,19
Beta_1.2,u_074,45,180,138,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,0,0,0,0,0,2,1,0,0,1,1,1,1,3,0,1,3,2,0,2,1,2,3,3,1,2,3,5,7,45,509,256,23
Beta_1.2,u_075,53,191,116,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,5,1,0,4,0,0,0,1,0,1,0,1,1,1,1,0,0,1,2,0,0,1,0,6,0,4,1,1,3,1,3,5,46,518,275,13
Beta_1.2,u_076,51,210,113,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,1,1,0,6,6,0,1,0,1,0,1,0,2,1,0,4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,2,1,3,4,5,54,508,254,26
Beta_1.2,u_077,37,238,122,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,3,0,0,3,3,2,5,1,2,0,0,0,0,0,0,1,0,0,1,2,1,4,3,1,0,0,1,2,3,1,2,2,4,55,509,249,21
Beta_1.2,u_078,34,247,131,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,6,1,0,0,0,1,0,0,0,0,2,1,4,3,2,2,1,3,0,2,0,0,2,1,0,2,1,5,3,1,6,3,6,61,484,275,15
Beta_1.2,u_079,34,219,148,2,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,2,0,2,3,3,1,0,1,4,0,0,1,1,0,0,1,0,2,4,1,3,2,1,4,3,2,6,0,5,0,3,1,1,2,4,46,493,242,20
Beta_1.2,u_080,36,195,173,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,2,0,0,0,0,1,0,1,2,2,2,0,1,5,3,1,0,3,3,1,1,2,1,3,2,2,0,1,2,4,4,10,60,441,254,32
Beta_1.2,u_081,45,169,174,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,1,7,3,1,2,1,1,0,0,0,0,1,2,0,2,0,2,0,3,2,2,0,1,0,3,7,0,2,4,2,0,0,2,5,54,429,293,31
Beta_1.2,u_082,43,198,167,1,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,2,1,0,4,2,1,0,1,1,5,2,0,3,0,2,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,3,3,3,1,0,5,9,48,406,351,31
Beta_1.2,u_083,40,184,177,0,0,1,0,2,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,5,0,0,0,3,0,0,0,2,0,1,1,0,5,2,1,1,4,2,1,2,1,0,2,0,0,2,0,2,3,0,2,6,36,463,341,22
Beta_1.2,u_084,34,176,182,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4,4,1,0,1,0,1,0,0,0,0,1,3,1,0,1,0,3,0,0,3,0,3,3,2,0,4,2,3,5,1,2,1,44,492,333,19
Beta_1.2,u_085,35,187,157,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,2,2,2,1,0,1,0,3,0,0,1,0,1,0,0,2,0,0,0,2,2,5,2,0,0,2,4,2,1,4,4,5,10,53,507,294,12
Beta_1.2,u_086,41,167,143,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,2,0,1,0,0,0,0,2,1,0,1,0,0,1,2,2,0,2,1,1,3,1,0,1,4,3,1,3,2,8,0,8,41,517,260,18
Beta_1.2,u_087,50,184,119,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,5,3,1,4,0,0,0,0,1,0,0,2,1,0,0,1,1,2,0,1,1,0,1,2,1,6,0,2,1,2,3,1,6,34,518,255,22
Beta_1.2,u_088,53,210,103,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,0,0,2,1,6,6,0,0,1,0,1,1,0,3,1,4,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,4,1,1,4,8,38,534,241,27
Beta_1.2,u_089,43,246,109,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,3,0,1,3,5,3,1,4,0,0,0,0,0,0,1,0,0,0,3,0,5,1,1,0,1,1,1,2,1,3,0,4,2,54,509,247,23
Beta_1.2,u_090,33,244,123,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,5,1,0,0,1,0,0,0,0,1,1,5,2,4,2,1,3,0,0,1,1,0,0,3,1,1,1,4,3,7,2,1,7,47,473,257,24
Beta_1.2,u_091,33,214,152,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,2,3,3,1,0,4,0,0,1,0,0,1,1,0,2,1,2,0,2,3,4,4,4,2,3,5,1,1,1,1,1,1,2,51,486,261,22
Beta_1.2,u_092,40,187,168,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,2,0,1,2,0,0,1,0,1,0,2,3,1,1,1,5,1,2,1,3,2,0,2,1,1,2,2,2,1,2,1,5,3,5,5,52,447,277,31
Beta_1.2,u_093,52,169,181,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,2,0,0,5,4,2,2,0,0,1,0,0,0,1,1,1,1,2,1,0,2,6,1,1,0,3,5,0,2,4,3,1,0,1,3,3,48,420,302,36
Beta_1.2,u_094,48,191,162,0,2,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,2,1,0,2,2,1,0,0,4,2,1,4,1,2,3,1,0,1,0,1,1,1,1,2,0,0,2,0,3,0,1,7,2,0,2,7,4,53,399,345,25
Beta_1.2,u_095,38,176,181,0,0,0,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,5,0,0,3,0,0,1,1,1,0,1,0,4,2,1,1,5,1,2,3,1,0,1,1,0,0,2,1,1,1,3,0,7,46,447,370,20
Beta_1.2,u_096,34,193,166,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2,6,0,1,1,0,0,0,0,0,1,1,4,1,0,1,0,2,1,0,1,0,4,3,1,1,4,2,1,4,2,3,2,2,42,488,326,21
Beta_1.2,u_097,34,198,166,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,2,3,1,0,1,0,3,0,0,1,0,1,0,0,2,0,0,0,0,1,7,4,1,0,1,2,1,2,4,0,7,6,6,50,505,303,12
Beta_1.2,u_098,39,183,150,0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,4,2,0,1,0,0,0,2,0,1,0,0,1,0,0,3,0,0,2,1,2,0,2,3,0,3,4,1,3,5,3,1,7,38,515,257,18
Beta_1.2,u_099,48,200,124,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,5,2,2,3,0,0,0,1,0,0,1,0,0,2,0,0,3,2,1,0,0,0,2,1,3,0,2,4,1,2,1,5,4,38,516,249,24
Beta_1.2,u_100,59,210,111,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,1,1,7,4,0,0,0,2,0,0,2,3,4,0,0,0,0,0,1,1,0,1,0,1,1,0,0,4,0,1,1,1,3,3,8,38,528,243,24
Beta_1.2,u_101,43,249,109,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,3,1,1,4,5,1,2,0,1,0,0,0,0,1,0,0,0,1,2,4,1,1,0,1,1,2,1,1,2,1,2,4,5,48,503,253,19
Beta_1.2,u_102,32,247,127,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,2,1,2,3,1,0,1,0,0,0,1,0,0,6,1,4,2,1,3,0,0,0,0,1,1,0,3,1,0,3,2,8,2,2,0,8,43,479,279,26
