Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38
Beta_1.0,u_001,75,217,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,3,4,1,1,4,0,1,2,1,2,1,0,1,0,0,2,0,0,2,4,6,9,127,366,80
Beta_1.0,u_002,76,224,14,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,3,0,0,0,0,0,0,2,1,1,2,1,2,0,1,0,0,0,1,2,6,0,1,4,0,0,1,0,0,0,1,0,10,119,358,145
Beta_1.0,u_003,69,223,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,2,2,1,0,1,0,0,1,1,1,3,1,1,0,0,0,1,1,1,0,0,0,1,7,2,5,0,18,91,400,148
Beta_1.0,u_004,65,186,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,2,2,1,0,0,1,0,1,3,0,3,3,2,1,1,3,2,1,6,10,111,425,101
Beta_1.0,u_005,59,183,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,5,1,4,3,3,1,3,2,2,0,1,4,3,7,105,383,125
Beta_1.0,u_006,47,185,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,2,2,0,0,1,1,1,1,1,0,1,0,0,2,3,1,1,4,3,2,11,99,396,113
Beta_1.0,u_007,59,187,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,5,4,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,1,1,3,0,1,10,90,423,128
Beta_1.0,u_008,71,139,26,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,3,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,2,6,0,0,2,0,4,80,445,125
Beta_1.0,u_009,81,145,27,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,1,3,0,1,0,0,0,1,0,0,0,1,0,1,4,0,0,0,0,1,0,1,1,0,0,3,0,1,0,2,1,0,1,1,14,96,488,90
Beta_1.0,u_010,68,183,19,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,1,2,0,1,1,2,4,0,7,101,469,90
Beta_1.0,u_011,53,218,20,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,0,0,1,3,3,0,1,2,3,106,482,74
Beta_1.0,u_012,60,204,17,3,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,1,3,0,1,0,1,2,0,0,0,0,5,0,0,5,130,424,67
Beta_1.0,u_013,65,192,20,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,8,0,1,0,0,0,1,0,0,1,1,0,0,0,1,2,2,1,0,0,0,5,1,3,0,1,2,0,2,2,1,5,104,410,110
Beta_1.0,u_014,78,191,14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,1,7,1,0,2,0,1,0,1,0,0,1,0,1,0,2,0,2,3,4,2,1,2,2,2,4,4,124,367,94
Beta_1.0,u_015,68,201,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,2,0,0,3,1,0,0,0,0,1,0,0,0,0,1,2,7,1,2,4,1,0,2,2,0,0,1,0,1,0,2,1,5,13,135,336,140
Beta_1.0,u_016,68,236,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4,1,4,0,0,0,0,2,0,1,4,0,1,0,1,1,0,1,1,0,0,0,0,2,8,1,2,2,0,0,2,2,0,10,126,364,132
Beta_1.0,u_017,66,228,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,3,3,1,0,0,1,0,1,2,0,2,3,0,1,0,0,1,3,1,0,0,0,0,1,11,5,19,100,427,112
Beta_1.0,u_018,75,192,15,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,2,3,3,0,0,0,1,0,2,1,2,2,5,2,1,1,0,4,4,8,110,425,100
Beta_1.0,u_019,85,183,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,2,4,3,1,2,5,1,3,1,1,1,1,0,4,13,107,412,117
Beta_1.0,u_020,66,187,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,0,1,1,2,0,1,0,1,0,0,3,0,1,2,5,1,3,5,2,8,100,408,98
Beta_1.0,u_021,63,179,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,1,2,1,0,1,0,0,0,1,0,4,2,6,82,433,98
Beta_1.0,u_022,71,149,26,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,2,3,0,0,0,3,1,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,3,1,0,3,0,1,1,2,81,468,102
Beta_1.0,u_023,72,151,20,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,2,2,0,0,1,2,2,1,1,7,92,508,83
Beta_1.0,u_024,55,208,22,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,1,2,0,1,2,4,3,7,83,475,108
Beta_1.0,u_025,44,221,23,2,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,2,3,3,1,3,0,1,1,6,114,444,91
Beta_1.0,u_026,66,204,13,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,2,0,0,3,0,1,1,0,1,1,1,0,0,4,8,121,394,102
Beta_1.0,u_027,64,207,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,6,2,0,1,1,0,0,0,0,0,0,0,1,0,1,2,2,1,1,1,0,1,3,2,1,0,3,1,0,3,10,105,394,91
Beta_1.0,u_028,74,200,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,1,7,1,0,0,1,1,0,1,0,0,0,2,0,0,0,2,4,6,0,0,2,3,1,4,139,358,109
Beta_1.0,u_029,84,205,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0,1,4,0,1,0,1,0,0,0,0,1,0,0,0,2,5,4,2,0,1,2,0,1,0,0,0,2,1,2,3,14,141,339,125
Beta_1.0,u_030,96,234,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,1,0,2,4,0,1,0,1,0,2,1,0,0,1,2,1,0,0,5,2,2,0,1,1,1,19,108,418,108
Beta_1.0,u_031,92,207,8,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1,3,0,0,0,2,2,2,0,0,0,5,0,1,0,0,0,2,1,0,2,0,1,2,3,22,101,463,81
Beta_1.0,u_032,73,200,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,8,0,0,0,4,0,0,1,2,0,2,3,1,1,5,1,1,2,2,6,10,102,454,89
Beta_1.0,u_033,69,203,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,7,6,2,2,5,1,1,0,1,1,1,4,13,102,418,122
Beta_1.0,u_034,67,193,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,3,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,2,1,1,1,8,5,3,5,10,78,445,90
Beta_1.0,u_035,55,180,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,4,5,66,446,88
Beta_1.0,u_036,76,153,26,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,2,2,0,0,0,0,1,2,0,8,83,427,140
Beta_1.0,u_037,64,169,26,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,3,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,1,0,1,4,1,1,5,78,515,117
Beta_1.0,u_038,51,205,13,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,4,1,2,2,3,3,2,91,477,89
Beta_1.0,u_039,50,226,14,5,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,1,0,2,0,2,0,1,2,2,1,0,0,1,1,2,1,6,100,444,78
Beta_1.0,u_040,75,199,18,3,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1,2,1,0,1,5,5,1,2,0,0,0,2,0,10,111,409,89
Beta_1.0,u_041,90,169,20,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,4,2,1,1,1,0,0,0,0,0,1,1,0,1,3,0,2,0,1,0,1,2,3,4,0,1,2,10,11,136,396,78
Beta_1.0,u_042,94,171,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,1,0,0,0,0,1,0,1,0,1,0,2,4,1,0,0,3,0,0,2,0,0,0,0,2,4,3,2,2,2,2,1,7,155,357,126
Beta_1.0,u_043,99,195,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,2,0,1,3,0,1,0,0,0,2,0,0,0,0,0,2,2,0,2,3,2,2,1,2,0,0,1,1,0,0,3,17,130,377,134
Beta_1.0,u_044,74,237,12,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,3,1,0,0,0,1,2,1,3,3,0,1,0,1,0,0,2,2,1,0,0,0,0,1,0,0,4,1,0,4,14,110,450,91
Beta_1.0,u_045,67,236,4,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,2,1,3,2,0,1,1,0,2,1,0,1,4,0,0,1,0,1,0,5,0,0,3,2,1,19,94,502,68
Beta_1.0,u_046,64,220,14,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,1,2,2,1,2,4,3,0,0,3,1,3,2,0,2,4,1,1,4,0,14,96,437,89
Beta_1.0,u_047,59,200,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,1,4,4,2,5,3,3,1,0,1,3,8,10,96,412,125
Beta_1.0,u_048,56,196,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,1,2,6,0,6,3,7,14,83,409,113
Beta_1.0,u_049,68,183,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,4,1,6,77,420,122
Beta_1.0,u_050,88,166,24,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,6,0,2,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,2,0,3,7,78,451,144
Beta_1.0,u_051,63,192,21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,3,0,0,0,2,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,1,0,0,0,3,1,2,0,1,4,1,5,92,514,89
Beta_1.0,u_052,50,217,15,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,3,0,0,1,2,1,0,0,4,0,2,0,4,5,91,468,82
Beta_1.0,u_053,69,215,16,3,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,1,0,1,5,0,0,2,2,1,0,0,2,1,1,2,3,6,106,438,64
Beta_1.0,u_054,81,187,15,4,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,0,2,1,0,0,0,0,0,0,2,0,1,1,0,1,1,1,1,1,1,1,1,2,1,1,4,1,0,2,1,11,115,416,87
Beta_1.0,u_055,78,182,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,4,0,0,2,1,0,1,0,0,1,0,3,1,0,2,0,1,0,4,2,2,1,1,2,2,13,140,397,95
Beta_1.0,u_056,73,183,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,4,1,3,0,1,0,0,2,0,2,3,1,2,1,1,2,6,144,385,111
Beta_1.0,u_057,75,206,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,2,3,1,0,1,3,0,3,0,1,0,1,0,0,0,2,1,0,1,0,0,1,0,2,3,0,4,2,1,0,0,0,16,130,425,102
Beta_1.0,u_058,63,256,3,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,1,4,2,0,1,3,3,1,0,1,3,0,0,1,1,0,1,3,1,0,0,0,0,0,1,0,0,2,3,4,18,115,477,76
Beta_1.0,u_059,58,243,13,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,1,3,2,1,3,3,0,1,1,3,2,1,0,1,2,3,1,1,1,0,0,4,2,3,0,1,14,104,478,82
Beta_1.0,u_060,57,212,15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,2,1,0,0,3,2,2,0,3,1,4,2,3,1,3,4,0,2,4,1,4,0,6,115,428,127
Beta_1.0,u_061,52,198,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,3,1,1,0,4,4,3,0,4,4,2,1,3,4,7,110,406,107
Beta_1.0,u_062,61,202,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,0,1,0,0,2,1,0,0,0,0,4,1,0,0,6,1,13,83,414,103
Beta_1.0,u_063,76,176,20,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,1,1,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,1,2,1,0,8,73,458,116
Beta_1.0,u_064,67,180,20,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,0,3,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,2,1,0,1,0,0,0,1,0,3,1,4,77,494,120
Beta_1.0,u_065,56,210,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,2,3,2,0,2,1,2,4,69,522,94
Beta_1.0,u_066,55,226,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,0,0,1,1,1,1,2,0,3,2,2,3,6,93,500,66
Beta_1.0,u_067,73,218,16,1,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,2,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,2,0,1,5,0,2,0,0,0,1,2,0,1,2,7,126,446,64
Beta_1.0,u_068,60,185,13,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,6,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,5,1,0,2,0,2,0,0,2,3,0,2,4,124,423,96
Beta_1.0,u_069,57,207,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,1,1,0,0,0,0,0,4,3,0,0,0,0,2,2,1,1,0,1,1,2,1,0,1,3,1,2,2,7,115,450,95
Beta_1.0,u_070,62,190,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,5,2,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,6,3,0,1,1,1,4,3,0,1,1,3,6,137,431,93
Beta_1.0,u_071,67,233,11,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,2,1,1,4,1,0,2,0,2,0,0,0,1,2,1,0,1,0,0,2,0,0,0,0,0,3,0,1,8,2,0,2,10,115,479,73
Beta_1.0,u_072,54,262,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,3,2,0,1,1,1,6,0,1,2,1,0,1,3,0,0,1,3,0,0,0,0,0,2,1,0,1,0,10,106,506,66
Beta_1.0,u_073,55,261,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,6,1,1,2,2,0,2,0,0,7,1,1,1,4,1,1,0,1,1,6,1,0,2,7,95,483,87
Beta_1.0,u_074,61,243,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,3,1,3,2,2,5,3,0,2,2,0,8,1,1,6,2,1,7,98,440,118
Beta_1.0,u_075,61,214,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,2,0,1,2,2,3,4,3,1,3,2,3,0,12,95,437,80
Beta_1.0,u_076,64,213,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,1,1,0,1,2,0,1,0,1,1,1,0,4,3,15,85,429,93
Beta_1.0,u_077,61,208,18,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,4,0,1,0,0,0,3,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,3,0,2,5,75,473,106
Beta_1.0,u_078,58,185,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,0,1,0,0,2,1,8,77,509,124
Beta_1.0,u_079,50,216,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,5,1,1,3,1,1,3,6,79,535,76
Beta_1.0,u_080,56,228,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,1,2,0,2,0,0,1,1,0,1,0,3,0,1,2,1,3,0,7,102,513,50
Beta_1.0,u_081,53,209,13,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,9,1,0,0,0,0,1,2,0,0,0,0,2,1,1,1,1,0,2,0,0,3,3,0,0,1,2,0,1,2,1,4,108,474,72
Beta_1.0,u_082,54,193,14,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,1,0,0,0,4,2,0,2,0,2,4,0,1,0,0,1,0,2,5,0,6,119,439,92
