Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35
Beta_1.2,u_230,46,242,80,0,0,0,2,0,0,0,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,0,1,1,4,0,1,0,0,1,0,0,0,0,0,2,3,1,0,1,3,3,1,2,3,3,4,1,5,37,351,446,33
Beta_1.2,u_231,44,245,78,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,7,1,0,1,1,0,2,0,0,0,1,0,3,3,0,0,1,0,0,4,2,1,0,1,4,5,1,1,5,4,27,366,450,28
Beta_1.2,u_232,56,230,75,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,2,1,0,0,2,1,1,0,0,2,0,1,0,2,1,1,1,0,1,1,4,2,0,4,1,3,4,2,0,23,403,404,27
Beta_1.2,u_233,60,255,64,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,10,2,0,1,0,0,1,1,4,0,0,1,3,1,1,3,0,0,0,2,1,0,2,1,1,2,0,3,4,5,21,400,398,25
Beta_1.2,u_234,59,278,59,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,1,0,1,3,5,2,0,9,1,3,1,0,0,1,0,0,0,2,0,2,1,0,2,1,4,1,1,2,2,0,5,4,4,31,393,396,33
Beta_1.2,u_235,41,287,65,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,3,1,0,0,0,0,1,3,1,3,2,1,7,0,4,1,0,1,0,3,1,1,1,3,3,5,0,0,5,7,38,373,415,27
Beta_1.2,u_236,42,301,63,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,2,3,2,0,0,0,1,0,0,1,1,1,1,1,1,5,3,4,1,1,3,8,4,3,1,2,1,1,0,1,25,339,412,23
Beta_1.2,u_237,44,290,68,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,2,1,1,0,3,0,3,1,1,0,0,2,5,0,0,0,0,3,3,3,2,3,0,3,0,0,0,3,5,1,3,1,8,7,19,347,390,35
Beta_1.2,u_238,52,257,88,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,1,1,4,0,3,2,0,0,0,1,4,1,2,0,2,0,0,3,5,2,0,0,0,2,4,3,1,3,1,3,2,4,37,311,432,26
Beta_1.2,u_239,47,259,89,0,0,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,3,0,2,0,0,4,1,1,3,0,1,1,0,2,2,1,0,5,1,2,3,0,0,1,3,5,1,1,3,4,36,290,475,45
Beta_1.2,u_240,42,267,88,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,4,3,0,0,0,1,0,1,2,0,2,0,0,3,3,0,3,3,0,2,0,0,3,2,1,4,0,3,3,2,22,324,466,26
Beta_1.2,u_241,45,260,94,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,3,5,0,1,0,0,0,0,2,1,0,0,1,0,2,0,2,0,2,1,0,2,1,5,1,1,4,1,2,0,8,28,317,492,23
Beta_1.2,u_242,43,255,82,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,6,0,0,1,5,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,1,1,4,2,1,3,3,3,2,11,24,354,460,35
Beta_1.2,u_243,44,249,73,1,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,7,0,1,1,0,2,0,0,0,0,1,3,3,0,0,1,1,0,1,3,3,0,0,3,3,2,1,1,4,6,23,366,465,30
Beta_1.2,u_244,52,239,77,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,6,1,0,0,1,0,1,0,0,1,0,2,0,2,0,1,1,1,1,0,4,4,0,1,3,1,4,5,1,0,28,400,410,28
Beta_1.2,u_245,63,246,68,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,10,2,1,0,0,1,0,4,0,1,0,1,3,0,1,1,1,1,1,2,0,2,0,0,1,2,1,4,6,0,29,389,389,33
Beta_1.2,u_246,53,278,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,1,0,1,4,4,2,0,8,2,1,1,0,1,0,0,0,2,0,1,2,0,0,1,5,1,1,2,0,0,5,3,2,5,30,411,385,28
Beta_1.2,u_247,44,299,63,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,0,4,0,0,0,0,1,1,3,3,0,2,6,1,3,1,0,0,1,1,2,0,1,5,0,5,1,2,1,4,6,34,362,421,40
Beta_1.2,u_248,44,296,61,1,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,2,2,5,1,0,0,1,0,0,0,0,1,0,1,2,3,4,3,3,2,0,7,1,5,3,0,3,2,0,0,3,25,350,396,21
Beta_1.2,u_249,42,299,69,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,3,1,0,0,3,2,0,0,1,0,0,5,1,1,0,0,1,2,4,2,3,1,2,2,0,0,1,5,1,5,1,2,5,7,29,339,393,40
Beta_1.2,u_250,57,256,94,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,4,2,0,2,0,0,0,1,3,3,0,2,0,0,1,4,3,1,0,0,2,2,2,4,2,0,2,4,2,2,35,324,423,28
Beta_1.2,u_251,49,255,88,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1,1,1,2,2,0,0,3,3,0,3,1,1,1,0,2,0,3,0,3,1,2,1,2,1,0,2,5,3,0,3,3,4,25,296,434,52
Beta_1.2,u_252,41,264,93,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,0,1,1,6,0,0,0,1,0,1,1,1,1,1,0,3,3,0,2,3,1,1,2,0,3,0,2,4,0,2,1,3,3,25,302,502,31
Beta_1.2,u_253,45,258,88,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,3,5,0,1,0,0,0,2,1,0,0,0,1,1,1,1,1,2,0,1,0,1,7,2,0,5,0,3,1,2,6,27,320,520,29
Beta_1.2,u_254,43,249,96,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,5,0,1,4,2,0,0,0,1,0,0,0,0,0,2,2,0,0,1,2,0,2,2,3,2,1,4,1,7,6,27,350,454,31
Beta_1.2,u_255,48,244,72,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,7,0,1,1,2,0,0,0,0,1,2,4,0,0,1,0,1,0,1,0,4,1,1,2,4,1,2,3,3,4,27,344,465,25
Beta_1.2,u_256,54,242,76,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,1,0,1,1,0,0,1,1,0,3,0,1,0,1,0,2,4,2,0,2,1,1,3,5,2,2,4,33,402,394,31
Beta_1.2,u_257,62,243,61,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,3,5,3,1,0,0,1,2,0,1,0,2,2,0,2,1,0,0,2,2,0,1,2,0,1,1,1,1,7,3,3,22,388,400,35
Beta_1.2,u_258,52,279,53,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,1,1,2,4,4,0,5,1,2,1,0,2,0,0,0,2,0,1,1,0,0,0,2,4,1,1,2,0,1,5,1,3,6,23,397,379,33
Beta_1.2,u_259,46,295,55,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,2,0,1,0,0,0,0,3,0,4,0,0,0,1,0,4,3,0,1,2,7,2,0,1,0,0,1,1,1,1,3,3,3,0,2,1,3,2,5,30,389,379,24
Beta_1.2,u_260,46,291,55,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,2,2,6,0,0,1,0,0,0,0,0,1,0,1,1,9,1,3,1,2,6,3,5,0,4,1,4,0,1,3,1,28,353,403,23
Beta_1.2,u_261,43,302,68,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,2,0,0,3,2,0,0,1,0,5,2,0,0,1,0,1,2,3,4,1,3,2,1,0,1,3,4,3,1,2,8,2,2,26,340,394,37
Beta_1.2,u_262,55,264,82,3,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,0,4,2,1,1,0,0,0,3,2,0,1,2,0,1,4,2,1,1,1,1,2,1,2,3,2,1,4,1,2,6,26,319,429,32
Beta_1.2,u_263,49,244,94,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,2,1,1,2,1,2,0,0,5,1,2,1,0,2,1,1,1,1,0,5,2,0,1,1,2,0,3,5,2,0,1,3,6,2,28,289,429,59
Beta_1.2,u_264,48,271,94,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,3,3,1,0,0,1,1,0,2,0,0,2,3,2,2,1,3,0,1,2,0,2,2,2,2,4,2,0,2,1,7,27,295,511,20
Beta_1.2,u_265,41,262,90,3,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,1,5,1,0,0,0,1,2,0,0,0,1,1,1,1,0,2,1,1,0,0,7,1,2,4,1,1,3,1,2,4,27,308,493,27
Beta_1.2,u_266,42,245,81,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,5,0,3,4,0,0,1,1,0,0,0,0,0,2,1,1,0,0,2,1,2,1,2,2,2,1,2,2,12,3,34,334,474,33
Beta_1.2,u_267,46,245,76,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,7,0,2,0,2,0,0,0,0,3,4,0,0,1,0,2,0,0,1,1,0,3,4,3,1,1,3,2,4,3,25,369,456,18
