Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47
Beta_1.0,u_001,39,183,77,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,4,0,0,1,2,1,1,2,0,0,1,0,0,0,2,0,0,1,2,5,4,5,48,231,269,29
Beta_1.0,u_002,26,200,85,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,1,3,0,0,0,0,0,0,0,2,1,1,0,2,1,0,2,0,1,0,0,0,0,1,2,4,2,0,1,3,1,0,0,1,0,0,0,0,1,0,3,49,202,288,90
Beta_1.0,u_003,36,194,73,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,2,2,1,0,0,1,0,0,1,0,1,1,2,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,6,3,2,3,0,11,36,216,286,108
Beta_1.0,u_004,36,147,85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,1,0,2,1,2,1,0,0,1,0,0,1,1,2,0,3,3,1,2,0,1,2,2,2,0,6,5,32,266,279,65
Beta_1.0,u_005,34,143,81,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,5,1,2,3,2,3,0,3,3,0,1,1,1,0,5,2,6,33,233,260,88
Beta_1.0,u_006,28,140,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,2,0,0,0,2,1,0,1,0,1,0,1,0,0,1,1,4,0,1,3,3,1,2,8,31,211,319,50
Beta_1.0,u_007,29,136,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,2,0,0,0,0,1,0,1,2,1,0,1,6,37,233,320,55
Beta_1.0,u_008,55,81,92,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,2,2,2,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,3,5,0,0,2,0,0,2,32,236,323,61
Beta_1.0,u_009,68,108,67,10,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,2,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,1,0,2,0,1,0,2,0,6,36,256,357,33
Beta_1.0,u_010,42,170,53,6,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,2,1,0,2,1,0,1,1,2,3,0,5,21,275,330,36
Beta_1.0,u_011,43,165,79,6,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,1,0,0,0,1,3,3,0,0,1,2,2,27,281,329,26
Beta_1.0,u_012,42,149,87,5,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,2,0,1,3,0,1,0,0,1,1,1,0,0,0,0,3,2,0,0,2,41,253,305,25
Beta_1.0,u_013,42,162,71,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,5,3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,2,1,1,0,0,0,1,4,1,1,2,0,1,2,0,2,1,1,1,3,32,261,289,44
Beta_1.0,u_014,41,182,60,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,8,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,2,0,2,2,2,3,2,1,1,2,2,1,4,2,43,253,237,54
Beta_1.0,u_015,40,155,81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,7,1,2,1,3,1,0,1,1,2,0,0,0,1,0,1,0,2,1,1,3,8,54,236,215,112
Beta_1.0,u_016,28,203,83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,4,0,0,0,0,0,2,0,0,3,2,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,8,1,2,0,2,0,0,1,2,1,0,4,50,205,292,81
Beta_1.0,u_017,28,200,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,2,2,2,0,0,0,1,0,1,2,0,0,0,3,2,0,1,0,0,0,1,3,1,0,0,0,0,0,1,1,10,5,11,32,241,320,54
Beta_1.0,u_018,28,179,75,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,1,2,3,3,0,0,0,0,1,0,0,2,1,2,0,6,2,1,1,1,0,1,4,3,7,32,263,282,59
Beta_1.0,u_019,49,139,96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,4,2,2,1,5,1,2,1,1,1,0,2,0,0,4,7,39,238,300,65
Beta_1.0,u_020,51,121,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,1,0,2,0,1,0,0,1,0,0,3,0,1,1,1,5,1,3,1,4,2,4,20,238,313,39
Beta_1.0,u_021,54,96,110,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,3,0,1,0,1,0,0,0,0,1,0,1,3,1,6,23,237,324,30
Beta_1.0,u_022,56,96,90,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,3,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,1,3,0,0,2,1,0,1,1,0,26,238,324,65
Beta_1.0,u_023,52,122,61,8,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,1,2,1,1,1,1,6,19,247,383,35
Beta_1.0,u_024,35,177,68,6,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,1,1,0,0,3,2,3,2,2,21,272,347,31
Beta_1.0,u_025,31,167,89,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,2,0,0,1,2,2,3,1,3,0,0,1,1,4,28,279,309,35
Beta_1.0,u_026,45,154,83,2,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,2,0,0,2,1,0,1,0,1,1,0,1,1,0,0,0,4,6,35,285,228,71
Beta_1.0,u_027,36,177,69,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,1,0,1,0,1,1,3,2,0,0,3,1,0,0,3,7,25,272,231,65
Beta_1.0,u_028,37,175,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,2,3,3,4,0,0,1,2,2,1,3,40,269,218,80
Beta_1.0,u_029,42,181,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,7,1,2,0,0,1,2,0,1,0,0,0,0,1,1,2,1,3,8,54,216,264,77
Beta_1.0,u_030,37,214,82,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,3,0,0,0,0,0,1,0,1,2,3,0,1,0,0,1,0,0,2,1,0,0,0,1,2,1,0,0,1,5,1,2,0,1,1,0,1,7,46,216,334,50
Beta_1.0,u_031,57,181,67,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,2,0,1,2,1,0,0,0,1,2,1,2,0,0,0,0,5,0,0,1,0,0,0,0,2,1,1,1,0,0,2,1,3,15,28,235,342,47
Beta_1.0,u_032,51,144,83,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,7,0,0,0,3,1,0,0,1,1,1,0,2,2,1,2,2,3,1,1,0,3,1,5,9,28,279,290,50
Beta_1.0,u_033,56,120,112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,8,5,1,1,4,3,1,0,0,1,0,2,1,3,11,32,239,328,45
Beta_1.0,u_034,57,111,110,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,1,2,0,1,1,8,5,0,3,5,7,25,217,335,39
Beta_1.0,u_035,40,104,108,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,3,3,2,16,234,337,16
Beta_1.0,u_036,51,110,86,8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,1,0,4,27,225,338,64
Beta_1.0,u_037,37,145,68,10,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,1,0,1,2,3,0,1,2,18,281,365,49
Beta_1.0,u_038,23,182,59,9,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,4,1,2,1,1,3,3,1,23,280,306,49
Beta_1.0,u_039,26,188,76,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,5,2,0,0,2,0,0,2,1,0,1,2,2,0,0,0,1,1,0,2,0,5,22,308,238,56
Beta_1.0,u_040,36,174,82,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,0,1,1,1,0,1,2,8,0,2,1,0,0,0,1,1,0,5,31,303,210,70
Beta_1.0,u_041,31,177,67,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,5,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,3,0,2,0,0,1,0,1,1,2,2,4,0,0,1,6,6,7,38,291,226,59
Beta_1.0,u_042,56,147,69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,2,1,0,0,2,1,0,0,2,0,0,0,0,0,1,2,3,3,1,3,0,2,2,1,4,43,277,249,72
Beta_1.0,u_043,60,162,81,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,4,1,0,2,0,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,2,0,1,4,2,1,1,1,2,0,0,0,1,1,0,0,0,2,8,50,224,308,69
Beta_1.0,u_044,44,203,76,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,2,2,0,0,0,0,0,2,1,1,3,3,0,0,1,0,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,3,1,1,0,3,8,48,196,362,52
Beta_1.0,u_045,43,180,82,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,3,1,1,3,1,2,0,0,1,1,0,2,1,0,0,1,4,0,0,1,0,0,0,1,3,2,0,0,2,1,2,1,13,28,238,376,28
Beta_1.0,u_046,44,147,107,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,2,2,1,1,3,2,3,0,0,0,3,1,2,3,0,0,2,4,0,2,1,3,0,11,26,261,295,43
Beta_1.0,u_047,45,118,107,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,3,0,5,3,2,3,4,1,3,1,0,1,0,3,5,9,34,248,318,37
Beta_1.0,u_048,38,120,119,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,1,1,1,6,0,4,2,3,7,9,24,242,286,58
Beta_1.0,u_049,46,119,107,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5,0,1,3,23,238,310,51
Beta_1.0,u_050,59,124,90,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,4,2,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,2,5,21,248,330,76
Beta_1.0,u_051,35,162,76,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,4,0,2,0,0,2,4,0,1,25,274,353,47
Beta_1.0,u_052,21,191,65,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,2,1,0,0,1,2,1,0,0,0,4,0,0,2,1,2,3,23,319,255,47
Beta_1.0,u_053,31,175,93,2,2,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,4,1,0,0,2,2,1,0,0,0,2,1,1,1,1,3,2,30,323,218,41
Beta_1.0,u_054,50,148,84,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,3,0,2,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,1,1,1,0,2,0,1,1,2,0,2,3,1,0,0,2,1,6,26,304,233,60
Beta_1.0,u_055,63,136,69,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,3,1,0,0,2,1,0,0,1,0,0,1,0,1,2,1,0,1,1,0,0,1,3,2,1,2,0,1,2,2,1,5,37,304,247,52
Beta_1.0,u_056,57,123,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,4,0,1,3,0,1,0,0,0,1,1,1,3,1,1,2,1,0,1,2,4,51,265,257,69
Beta_1.0,u_057,45,167,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,2,3,1,0,1,1,2,0,3,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,1,0,0,2,1,2,0,5,1,1,0,0,0,0,9,55,223,356,30
Beta_1.0,u_058,36,206,80,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,2,2,2,0,1,3,0,4,0,0,1,0,3,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,1,1,4,3,6,47,222,383,28
Beta_1.0,u_059,32,174,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,2,2,2,1,2,2,2,0,1,1,3,0,3,0,0,1,0,4,1,1,1,0,1,0,0,4,2,2,1,0,1,8,32,268,341,29
Beta_1.0,u_060,36,130,118,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,1,1,2,1,2,1,3,2,2,3,0,3,3,1,0,1,5,1,1,3,0,3,40,283,275,75
Beta_1.0,u_061,38,115,111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,0,1,3,3,3,1,3,2,3,1,2,1,3,3,5,26,260,283,56
Beta_1.0,u_062,42,121,113,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,0,0,0,0,3,1,1,0,0,4,2,1,8,25,238,273,69
Beta_1.0,u_063,53,116,102,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,1,1,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2,0,1,0,7,24,237,312,75
Beta_1.0,u_064,35,147,81,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,1,1,0,1,0,0,0,0,1,0,2,2,0,3,23,262,344,63
Beta_1.0,u_065,27,184,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,2,1,3,2,0,1,1,2,1,3,14,284,339,49
Beta_1.0,u_066,32,187,73,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,2,0,2,2,1,2,3,3,20,332,274,36
Beta_1.0,u_067,52,152,103,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,2,0,1,1,4,0,2,0,0,0,0,1,1,1,0,2,1,5,31,337,244,26
