Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47
Beta_1.8,u_164,8,68,84,68,117,73,31,14,6,2,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,4,0,1,1,4,1,0,3,1,3,1,3,4,4,1,2,4,0,4,4,3,3,5,4,3,2,3,2,2,5,5,7,11,9,17,26,54,98,207,273,157,70,59,9
Beta_1.8,u_165,9,65,71,82,99,55,16,8,5,3,1,2,0,1,1,0,2,0,1,2,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,3,2,0,0,2,1,1,3,1,1,0,0,7,4,2,2,4,6,1,0,5,3,6,4,5,6,5,4,6,7,2,5,11,24,39,42,81,203,255,157,72,62,4
Beta_1.8,u_166,11,61,67,96,112,54,16,8,0,2,1,0,2,2,1,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,2,0,1,0,0,0,1,0,1,2,0,2,0,0,1,1,0,0,0,2,3,1,3,3,3,1,2,1,1,0,1,1,2,0,1,1,3,0,2,2,3,4,2,8,3,3,5,6,7,4,11,16,19,17,19,20,42,113,235,245,129,70,50,7
Beta_1.8,u_167,11,60,69,115,116,47,10,8,5,1,3,1,0,0,0,0,2,1,2,0,2,0,1,1,0,1,3,0,0,1,0,0,0,0,0,1,2,1,2,0,2,0,1,0,0,0,0,0,0,0,1,3,2,2,3,1,2,5,0,1,4,0,2,1,0,0,3,5,1,0,2,2,4,2,3,4,6,4,4,7,7,17,13,8,20,23,60,127,212,206,157,95,47,8
Beta_1.8,u_168,10,65,79,79,117,47,26,3,6,2,1,1,0,0,1,0,0,1,0,0,0,1,1,2,1,3,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,2,0,0,1,1,1,3,2,2,0,3,0,1,0,1,1,4,1,1,1,1,8,5,1,0,2,6,1,1,4,4,2,4,7,5,7,12,5,9,26,32,74,134,208,217,180,104,37,5
Beta_1.8,u_169,6,70,79,82,113,43,8,5,7,6,2,3,2,3,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,2,1,0,2,0,1,0,0,0,0,0,1,5,3,2,1,0,2,4,0,1,0,2,2,5,4,3,5,8,12,17,17,19,17,30,57,110,229,256,196,72,49,3
Beta_1.8,u_170,12,60,58,101,114,50,16,2,4,1,1,1,0,0,2,2,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,2,2,1,3,0,1,2,2,2,1,1,1,0,1,2,1,0,0,0,0,3,4,1,2,6,2,4,5,6,8,15,9,9,11,14,19,25,44,98,240,271,187,94,40,1
Beta_1.8,u_171,12,70,63,66,131,60,20,13,5,0,2,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,4,1,0,0,1,1,2,0,1,0,0,0,1,1,0,0,0,2,7,1,1,1,3,0,2,2,5,0,1,1,5,2,2,2,2,2,2,2,4,3,2,2,3,3,3,4,5,6,5,4,6,4,14,18,30,28,113,228,258,149,102,62,5
Beta_1.8,u_172,11,76,76,86,110,46,30,10,3,2,2,0,2,0,1,2,1,1,1,0,1,0,1,1,0,2,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,4,1,2,2,2,5,1,1,1,1,3,1,2,2,4,3,3,1,7,3,3,5,6,7,4,5,4,12,4,5,6,2,13,18,25,52,108,240,247,157,68,45,2
Beta_1.8,u_173,9,68,82,78,105,47,13,8,8,4,1,3,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,1,0,2,0,1,0,1,1,1,0,0,0,0,1,2,2,1,1,1,1,1,2,1,0,2,2,2,1,1,4,7,2,3,6,2,4,1,8,5,1,1,4,3,9,8,7,8,22,23,32,49,105,246,278,137,69,25,0
