Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B1_47,B1_48,B1_49,B1_50,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46,B2_47,B2_48,B2_49,B2_50
Beta_1.4,u_242,19,49,129,340,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,2,1,4,1,3,0,2,0,4,1,0,1,0,0,0,2,0,2,2,3,0,3,0,0,0,0,1,2,6,1,0,3,3,0,5,4,1,4,3,5,2,1,11,29,169,575,149,45,6
Beta_1.4,u_243,10,50,125,370,23,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,2,1,3,2,1,1,0,1,2,1,0,1,1,1,3,0,1,0,0,3,3,1,0,2,0,1,2,1,0,0,3,5,2,2,0,0,0,0,2,8,2,10,36,158,564,172,40,7
Beta_1.4,u_244,10,47,116,358,21,2,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,1,3,0,1,1,0,3,2,0,1,2,2,0,0,1,0,1,3,0,3,1,2,4,2,3,1,1,1,2,2,10,35,161,552,168,60,15
Beta_1.4,u_245,7,51,112,338,20,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,2,0,1,4,0,1,2,0,0,3,0,2,3,2,0,1,2,2,6,7,24,169,579,205,39,12
Beta_1.4,u_246,18,50,96,334,10,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,4,3,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,1,4,0,2,0,0,1,2,1,1,2,5,1,1,2,30,147,653,174,32,10
Beta_1.4,u_247,20,45,94,301,15,2,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,2,0,3,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,1,1,0,0,2,0,2,1,0,1,2,0,2,2,2,1,6,13,32,176,662,177,29,7
Beta_1.4,u_248,14,63,109,270,20,0,1,2,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,4,7,1,1,0,2,1,0,1,0,1,1,0,2,2,0,0,0,0,1,0,4,0,0,1,0,1,1,2,2,1,1,1,1,3,1,2,0,0,1,4,8,32,150,698,158,45,3
Beta_1.4,u_249,20,63,116,294,13,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,4,0,0,1,0,0,0,1,3,2,1,1,2,0,0,1,2,2,0,2,2,1,0,1,0,0,5,3,1,0,0,0,3,4,0,0,0,0,1,4,3,34,162,679,162,33,1
Beta_1.4,u_250,13,67,128,272,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,1,1,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,1,1,1,4,2,0,0,2,1,1,0,1,2,1,0,3,4,2,1,2,5,4,8,28,165,666,128,19,3
Beta_1.4,u_251,17,68,126,285,15,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,2,6,0,4,1,2,2,1,6,1,0,2,1,1,1,1,0,0,1,1,1,3,0,1,0,1,1,0,3,1,0,1,1,0,3,3,4,0,3,2,2,5,29,149,640,111,27,5
