Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40
Beta_1.2,u_397,33,139,228,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,1,3,3,0,0,1,1,2,0,0,1,0,2,1,0,0,0,2,1,1,1,0,1,3,0,0,3,5,3,0,2,2,3,0,6,11,62,478,287,18
Beta_1.2,u_398,35,121,226,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,2,0,0,0,0,1,0,2,1,1,0,1,1,0,3,0,1,0,1,2,2,3,1,1,1,1,3,19,60,499,264,18
Beta_1.2,u_399,39,140,193,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,3,1,1,2,2,1,1,2,1,5,3,0,11,55,517,252,34
Beta_1.2,u_400,42,141,185,2,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,4,1,0,1,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,2,2,0,1,4,0,1,5,1,3,1,2,7,52,546,250,11
Beta_1.2,u_401,42,137,190,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,2,2,1,2,0,1,0,0,1,0,1,0,2,5,5,1,2,13,60,591,192,10
Beta_1.4,u_001,33,66,385,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,2,1,0,3,6,3,0,4,0,1,2,0,1,4,2,1,2,0,0,3,1,2,2,5,3,0,1,1,3,0,4,9,3,2,3,1,8,33,265,552,91,10
Beta_1.4,u_002,21,87,398,54,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,2,5,1,1,2,1,0,3,2,3,2,2,0,4,2,1,2,2,1,0,4,2,2,3,2,1,0,4,3,0,3,3,2,7,41,272,575,86,10
Beta_1.4,u_003,20,65,399,47,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,3,3,3,1,0,0,1,3,0,3,1,0,4,0,1,1,1,3,1,3,2,1,3,3,4,2,2,4,1,2,2,4,4,7,41,295,524,88,18
Beta_1.4,u_004,24,55,408,40,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,1,0,1,0,0,1,2,0,0,2,0,2,2,1,1,2,1,2,0,0,0,2,4,1,0,3,1,0,3,2,2,2,2,3,4,3,4,2,8,39,276,572,94,15
Beta_1.4,u_005,33,49,384,40,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,0,1,0,0,1,1,1,2,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,4,1,1,1,2,1,2,0,1,4,1,4,2,3,1,1,6,29,245,599,103,17
