Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40
Beta_1.0,u_001,66,221,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,0,5,3,0,1,4,0,1,2,1,2,1,0,1,0,0,1,1,0,0,3,7,2,20,157,350,55
Beta_1.0,u_002,65,225,24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,2,1,0,0,0,0,0,1,2,1,0,2,1,2,0,1,0,0,0,1,2,5,1,1,2,2,0,1,0,0,0,0,1,0,20,143,341,128
Beta_1.0,u_003,61,224,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,1,2,2,0,0,1,0,1,0,1,1,3,1,1,0,0,0,1,1,1,0,0,0,0,5,4,2,4,1,20,118,378,140
Beta_1.0,u_004,58,183,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,3,0,1,2,2,1,0,0,1,0,1,2,1,1,5,1,2,1,1,3,2,0,7,10,136,409,91
Beta_1.0,u_005,53,175,31,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,1,3,4,2,1,3,3,1,1,1,0,5,2,17,120,372,111
Beta_1.0,u_006,40,185,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,2,0,0,1,1,1,1,0,1,1,0,0,1,1,4,1,1,5,1,2,15,121,393,90
Beta_1.0,u_007,52,184,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,5,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3,2,0,2,0,0,0,0,1,1,0,3,0,2,12,115,419,104
Beta_1.0,u_008,70,131,35,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,2,3,2,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,1,4,3,0,2,0,1,4,115,432,102
Beta_1.0,u_009,75,138,40,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,1,0,1,1,0,0,2,1,0,1,0,2,1,0,2,1,18,125,473,71
Beta_1.0,u_010,56,187,24,4,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,0,2,1,0,2,1,0,2,2,3,1,9,137,451,69
Beta_1.0,u_011,50,210,29,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,2,1,0,0,0,3,2,2,0,1,3,4,149,460,51
Beta_1.0,u_012,54,196,31,3,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,2,2,0,0,4,0,1,0,1,1,1,0,0,0,1,4,0,0,11,152,413,50
Beta_1.0,u_013,60,183,34,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,7,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2,2,0,1,0,0,4,2,0,3,1,0,2,2,0,2,2,8,140,382,98
Beta_1.0,u_014,71,194,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,8,1,0,2,0,1,0,0,1,0,0,1,0,1,0,1,1,2,1,3,3,2,2,1,3,1,5,10,167,323,88
Beta_1.0,u_015,56,206,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,2,2,0,0,3,1,0,0,0,0,0,1,0,0,0,0,1,4,6,0,2,4,1,0,2,0,2,0,0,1,0,1,0,3,2,4,24,166,306,127
Beta_1.0,u_016,56,242,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,1,1,0,3,2,0,1,0,1,1,0,1,1,0,0,0,0,2,8,1,2,0,2,0,1,2,1,0,23,139,355,115
Beta_1.0,u_017,59,226,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,3,2,2,0,0,1,0,1,2,0,0,2,3,0,1,0,0,1,2,2,0,0,0,0,1,0,11,5,20,120,429,89
Beta_1.0,u_018,63,194,25,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,2,4,2,0,0,0,1,0,1,2,2,0,6,2,2,1,0,1,4,4,10,136,408,88
Beta_1.0,u_019,77,177,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,1,2,6,0,3,3,3,2,2,1,0,1,1,0,7,14,134,395,103
Beta_1.0,u_020,63,182,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1,0,1,2,0,1,0,0,1,0,2,1,1,1,2,5,2,2,4,2,10,116,402,86
Beta_1.0,u_021,61,169,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0,0,3,0,1,1,0,0,0,1,0,1,3,3,9,103,433,73
Beta_1.0,u_022,70,138,38,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,4,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,1,3,0,0,3,0,2,0,4,112,448,89
Beta_1.0,u_023,66,145,32,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,4,0,0,0,1,2,2,1,2,8,123,492,66
Beta_1.0,u_024,45,212,24,5,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,1,2,0,0,2,2,4,2,9,116,468,80
Beta_1.0,u_025,41,217,29,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,1,2,4,1,3,1,0,1,1,10,151,424,70
Beta_1.0,u_026,62,195,26,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,2,0,0,3,0,1,0,1,1,0,2,0,0,0,5,11,162,356,95
Beta_1.0,u_027,58,206,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,3,1,1,0,1,1,1,3,2,0,2,2,0,0,4,10,156,350,83
Beta_1.0,u_028,61,205,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,3,5,1,0,1,0,1,0,1,0,0,0,2,0,0,0,2,4,2,4,0,1,2,2,2,12,182,314,101
Beta_1.0,u_029,70,216,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2,2,0,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,2,5,4,2,0,1,0,2,1,0,0,0,0,2,2,1,3,28,162,320,109
Beta_1.0,u_030,84,238,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,1,0,1,4,1,0,1,0,1,0,2,1,0,0,0,2,2,0,0,1,6,2,0,1,1,0,2,23,134,399,96
Beta_1.0,u_031,88,203,15,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,1,1,2,0,0,0,2,2,2,0,0,0,5,0,1,0,0,0,0,2,1,1,1,0,2,1,7,24,118,450,71
Beta_1.0,u_032,69,195,14,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,7,0,0,1,3,0,0,1,2,0,2,2,1,2,4,2,1,0,2,3,6,13,135,426,80
Beta_1.0,u_033,67,194,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,11,2,1,3,4,1,0,1,0,2,1,4,15,126,410,103
Beta_1.0,u_034,64,182,33,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,1,2,0,1,7,6,1,3,6,10,106,437,69
Beta_1.0,u_035,49,174,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,3,3,6,101,447,51
Beta_1.0,u_036,71,143,40,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,2,1,0,11,117,406,124
Beta_1.0,u_037,56,167,34,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,3,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,1,0,1,4,1,1,7,119,483,106
Beta_1.0,u_038,46,201,18,9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,4,2,1,1,3,3,7,128,447,77
Beta_1.0,u_039,47,223,20,5,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,6,1,0,2,0,0,2,1,1,2,2,0,0,1,1,0,2,1,9,149,403,67
Beta_1.0,u_040,66,197,29,3,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,1,1,1,0,2,9,0,2,1,0,0,0,2,0,14,173,349,83
Beta_1.0,u_041,75,180,23,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,4,2,1,0,2,0,0,0,0,0,0,1,1,0,1,3,0,2,0,0,1,1,1,2,4,2,0,1,10,3,14,186,346,74
Beta_1.0,u_042,87,173,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0,1,1,0,0,1,0,4,2,1,0,1,2,0,0,2,0,0,0,0,0,4,3,2,4,0,2,2,2,14,190,327,113
Beta_1.0,u_043,94,192,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1,2,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,2,2,0,1,4,2,2,0,2,1,0,1,1,0,0,0,3,20,162,358,118
Beta_1.0,u_044,66,239,18,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,2,2,0,0,0,0,2,1,1,3,3,0,1,0,1,0,0,2,2,0,1,0,0,0,0,1,0,2,2,1,1,3,24,131,429,81
Beta_1.0,u_045,61,231,14,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,2,1,3,3,0,0,1,1,0,2,1,0,0,5,0,0,1,0,0,1,4,1,0,2,1,2,2,19,123,478,62
Beta_1.0,u_046,58,218,22,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,2,2,1,2,4,3,0,0,1,2,2,4,0,0,4,2,1,2,3,1,15,127,417,76
Beta_1.0,u_047,57,190,23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,3,1,6,2,4,4,3,1,1,1,0,3,8,16,124,399,104
Beta_1.0,u_048,49,193,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,0,0,1,1,4,3,4,2,3,8,16,104,405,93
Beta_1.0,u_049,62,179,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,4,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,5,0,1,9,112,402,102
Beta_1.0,u_050,80,162,34,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,6,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,1,1,3,9,102,437,131
Beta_1.0,u_051,50,192,34,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,3,0,0,0,2,1,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,2,0,1,5,0,8,140,472,80
Beta_1.0,u_052,40,218,24,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,4,0,0,0,3,1,0,0,1,3,0,2,1,3,8,131,436,71
Beta_1.0,u_053,66,211,22,4,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,1,5,0,0,0,3,2,0,0,2,1,1,1,1,3,9,167,380,58
Beta_1.0,u_054,74,180,29,4,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,4,0,2,1,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,1,1,1,1,1,1,2,0,3,3,0,0,2,1,14,167,369,79
Beta_1.0,u_055,71,178,19,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,3,1,0,2,0,1,0,1,0,0,1,0,3,1,0,1,1,0,1,3,2,2,1,1,1,3,2,17,192,361,74
Beta_1.0,u_056,66,183,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,4,1,3,0,1,0,0,1,1,1,4,1,0,3,0,2,1,17,186,341,102
Beta_1.0,u_057,69,207,10,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,2,3,1,0,1,3,0,3,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,3,2,1,5,1,0,0,0,2,19,170,411,71
Beta_1.0,u_058,57,257,8,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,3,3,0,1,1,2,4,0,0,1,3,0,0,1,1,0,1,2,2,0,0,0,0,0,0,1,0,1,1,4,3,21,134,471,60
Beta_1.0,u_059,53,238,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,2,2,2,2,2,3,0,1,1,3,2,1,0,1,0,4,1,2,0,1,0,1,5,1,2,0,1,18,127,466,67
Beta_1.0,u_060,53,207,24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,1,2,0,0,0,3,2,2,0,3,1,3,2,4,1,3,3,1,1,1,4,2,3,0,12,149,406,109
Beta_1.0,u_061,49,192,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,1,3,1,1,0,1,5,4,1,3,2,3,2,2,3,3,12,133,391,94
Beta_1.0,u_062,56,195,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,1,0,0,0,3,1,1,0,4,2,2,17,106,394,95
Beta_1.0,u_063,68,175,29,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,0,2,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,3,0,1,1,10,111,428,105
Beta_1.0,u_064,59,178,30,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,3,3,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1,2,0,1,0,0,0,1,0,2,2,1,8,111,472,103
Beta_1.0,u_065,46,212,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,3,2,2,1,1,1,2,1,6,118,487,78
Beta_1.0,u_066,51,224,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,1,0,0,1,1,1,1,0,2,2,2,1,3,2,8,147,456,54
Beta_1.0,u_067,70,212,25,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,2,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,2,0,1,4,1,2,0,0,0,0,2,1,0,2,2,10,185,393,54
Beta_1.0,u_068,56,180,22,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,4,3,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,5,1,0,2,0,0,2,0,1,4,0,1,1,8,171,381,87
Beta_1.0,u_069,55,200,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,4,3,0,0,0,0,2,2,1,1,0,1,1,1,2,0,0,3,2,2,1,2,8,181,394,83
Beta_1.0,u_070,52,196,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,3,0,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,5,4,1,1,1,1,3,3,1,0,1,1,4,6,187,396,77
Beta_1.0,u_071,57,237,17,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,3,1,1,4,0,1,2,0,1,1,0,0,0,1,2,1,0,1,0,0,2,0,0,0,0,0,2,1,0,5,6,0,0,3,16,156,450,54
Beta_1.0,u_072,49,255,13,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,2,1,2,2,1,1,0,6,1,1,0,3,0,0,1,3,0,0,0,3,1,0,0,0,0,1,1,1,1,0,0,15,138,481,54
Beta_1.0,u_073,44,260,18,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4,2,1,1,2,1,1,0,0,6,2,1,1,4,1,0,1,1,0,3,5,0,0,2,8,125,460,79
Beta_1.0,u_074,52,244,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,3,1,3,2,1,4,4,1,1,2,1,4,4,1,2,5,2,1,10,141,410,102
Beta_1.0,u_075,57,203,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,0,1,2,0,1,2,2,3,4,3,1,3,2,1,2,0,18,119,420,67
Beta_1.0,u_076,58,208,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,3,0,0,1,1,1,0,1,0,4,4,16,112,409,84
Beta_1.0,u_077,53,206,28,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,5,0,1,0,0,0,1,2,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,2,0,3,6,112,445,95
Beta_1.0,u_078,52,183,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,1,0,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,2,1,1,1,1,0,0,1,0,1,0,0,2,0,2,11,120,484,102
Beta_1.0,u_079,46,214,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,6,1,0,3,1,1,3,8,119,507,62
