Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32
Beta_2.10,M570,26,63,74,114,109,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,5,4,4,51,291,147,208,205,91,63,86,86,108,61,34,63,50,55,58,8,4,0,0,0,0,0,0,0,0,0
Beta_2.10,M571,35,68,72,108,112,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,7,4,57,328,138,213,217,84,68,61,86,109,79,31,60,27,53,55,33,7,1,0,0,0,0,0,0,0,0
Beta_2.10,M572,35,65,74,116,111,73,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,6,6,64,335,134,198,211,87,58,54,66,92,116,32,34,41,17,66,51,10,5,0,0,0,0,0,0,0,0
Beta_2.10,M573,38,72,60,109,104,80,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,8,6,62,362,139,181,243,84,51,58,56,73,83,77,11,40,23,46,45,22,7,1,0,0,0,0,0,0,0
Beta_2.10,M574,24,73,73,113,110,76,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,11,9,49,381,142,176,247,83,58,55,44,65,63,81,54,32,23,26,45,32,25,4,0,0,0,0,0,0,0
Beta_2.10,M575,32,73,67,114,104,90,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,11,32,402,159,165,237,114,57,57,44,53,50,38,65,45,32,23,19,55,29,8,3,0,0,0,0,0,0
Beta_2.10,M576,33,69,73,103,112,87,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,11,31,411,138,195,246,105,73,65,46,48,52,16,62,63,32,17,30,28,33,16,6,0,0,0,0,0,0
Beta_2.10,M577,24,68,75,109,108,92,0,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4,10,28,407,152,185,237,105,70,71,51,41,58,33,30,62,14,20,23,18,24,24,10,3,0,0,0,0,0
Beta_2.10,M578,38,67,65,108,97,85,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,8,27,408,133,177,256,110,58,79,72,68,60,25,18,23,31,23,18,30,7,27,16,8,0,0,0,0,0
Beta_2.10,M579,47,65,62,117,104,90,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,9,28,415,132,163,258,154,82,66,79,65,47,26,11,9,18,36,16,18,21,3,26,12,5,0,0,0,0
Beta_2.10,M580,52,64,69,111,107,84,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,7,47,405,133,176,214,166,72,49,61,73,33,34,14,15,9,28,26,4,18,7,2,27,10,0,0,0,0
Beta_2.10,M581,58,60,48,109,112,81,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,8,5,12,55,410,120,170,174,167,94,60,68,63,23,42,23,15,19,10,9,4,8,14,4,7,24,6,0,0,0
