Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B1_46,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45,B2_46
Beta_2.20,M487,26,23,75,218,21,1,69,52,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,7,1,13,25,130,139,56,117,56,131,163,154,73,99,102,66,115,81,45,37,14,9,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M488,28,24,89,213,19,2,73,52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,5,0,11,21,134,144,62,114,67,118,186,135,85,80,103,55,86,105,47,33,19,15,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M489,30,27,77,215,19,3,68,54,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,2,12,137,139,56,116,81,118,168,151,68,61,107,58,62,133,36,39,35,23,10,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M490,29,31,72,230,3,8,69,54,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,6,10,152,137,55,118,77,118,185,129,60,68,88,72,52,89,64,25,27,23,23,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M491,26,45,90,198,5,31,42,58,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,3,0,6,7,149,131,65,119,79,110,192,125,64,55,92,74,56,53,79,31,20,49,21,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M492,27,43,105,191,5,53,22,53,7,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,2,9,152,136,60,127,95,102,193,113,46,64,82,74,71,43,67,44,26,30,45,10,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M493,22,29,105,183,2,59,21,61,8,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,152,125,62,130,98,98,179,123,40,59,87,62,70,50,37,78,11,66,20,19,21,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M494,22,29,121,169,3,62,15,54,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,6,137,141,64,130,95,99,187,121,35,46,98,61,67,56,40,85,60,32,27,17,23,7,7,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M495,21,40,118,151,6,65,14,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,2,5,136,120,65,110,139,96,182,109,58,45,88,74,79,51,57,49,96,23,16,15,19,7,0,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0
Beta_2.20,M496,22,41,128,155,5,70,13,57,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,6,2,3,133,108,61,95,153,100,184,135,62,51,94,70,75,44,34,52,66,60,16,10,14,7,2,0,7,8,0,5,0,0,0,0,0,0,0,0,0,0
