Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B1_45,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44,B2_45
Beta_2.20,M359,33,159,184,5,67,13,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,2,2,4,2,15,113,174,148,71,56,73,128,138,177,106,107,81,101,53,33,16,15,12,6,14,11,3,6,6,4,5,5,3,5,8,39,10,0,4,0,0,0
Beta_2.20,M360,39,141,195,7,69,13,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,1,2,1,1,17,104,185,139,79,46,58,143,141,172,103,107,85,92,63,32,25,10,10,6,7,7,10,5,4,2,4,4,2,3,5,7,36,11,3,2,0,0
Beta_2.20,M361,83,88,189,7,67,19,88,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,1,17,114,178,138,83,48,52,132,144,184,94,104,80,98,74,30,22,12,17,4,7,3,3,3,7,6,4,4,2,2,2,4,8,32,12,5,0,0
Beta_2.20,M362,83,82,199,13,70,15,83,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,20,108,179,138,87,51,54,123,153,182,87,113,75,98,80,34,13,11,12,7,6,7,2,3,2,3,8,3,1,1,0,2,2,5,29,8,5,0
Beta_2.20,M363,79,83,207,14,69,15,78,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,20,112,181,134,99,50,50,124,154,196,78,113,66,101,87,33,23,11,14,8,5,7,2,2,3,2,8,1,0,1,0,0,0,0,3,24,6,5
Beta_2.20,M364,78,82,208,14,74,13,79,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,16,124,183,115,120,47,50,115,131,198,97,108,70,96,84,48,17,18,12,6,5,6,3,2,2,9,5,1,0,0,0,0,0,0,0,0,20,7
Beta_2.20,M365,74,100,200,10,73,16,85,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,17,137,176,111,130,54,44,92,168,198,102,116,73,97,84,51,20,22,15,10,5,5,3,4,4,6,1,0,0,0,0,0,0,0,0,0,0,7
Beta_2.20,M366,73,99,187,13,71,13,86,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,17,133,189,104,135,51,45,56,186,189,102,128,90,74,79,59,34,17,12,11,10,4,5,2,6,1,1,0,0,0,0,0,0,0,0,0,0,2
Beta_2.20,M367,83,111,183,9,76,14,89,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,3,17,134,186,106,146,53,50,57,181,188,116,123,75,82,69,60,36,14,9,7,5,12,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Beta_2.20,M368,75,97,185,10,79,11,93,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,17,145,162,135,147,56,51,47,159,195,92,158,52,83,75,56,33,26,11,9,7,2,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3
