Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B1_44,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43,B2_44
Beta_1.95,M568,51,19,71,53,57,69,56,118,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,8,3,3,4,2,8,197,161,227,109,92,72,39,41,71,165,53,45,35,42,38,28,35,27,5,9,22,9,1,2,1,15,35,16,0,0,0,0,0,0,0
Beta_1.95,M569,45,17,72,58,54,85,57,112,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,4,5,5,5,5,4,212,154,228,112,93,74,43,42,63,151,71,40,43,36,34,35,27,33,5,5,11,13,1,1,2,7,40,16,0,0,0,0,0,0,0
Beta_1.95,M570,32,18,67,63,51,77,74,99,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,9,3,2,3,2,5,216,158,201,132,94,80,41,40,64,100,113,39,40,40,35,31,26,43,5,10,9,13,4,1,2,2,41,13,0,0,0,0,0,0,0
Beta_1.95,M571,27,17,86,58,44,71,71,102,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,9,4,3,3,1,3,2,234,154,205,116,99,83,46,41,59,68,131,51,42,40,34,27,28,36,23,12,3,11,5,1,2,2,37,14,0,0,0,0,0,0,0
Beta_1.95,M572,17,30,68,67,50,72,68,98,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,2,2,0,3,1,2,237,149,198,119,96,98,40,42,64,65,69,111,40,39,32,36,28,34,39,5,4,6,8,1,2,2,30,18,0,0,0,0,0,0,0
Beta_1.95,M573,17,36,63,73,78,55,65,97,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,1,1,1,1,9,221,167,185,117,95,89,58,42,62,75,33,97,79,41,35,33,30,30,50,5,2,3,14,2,2,2,21,23,0,0,0,0,0,0,0
Beta_1.95,M574,15,40,61,80,72,53,73,95,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,1,2,0,18,238,167,183,119,89,91,49,58,56,76,36,53,96,60,35,34,29,32,41,19,4,2,7,11,2,1,9,33,0,0,0,0,0,0,0
Beta_1.95,M575,12,52,60,74,69,54,70,102,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,1,2,1,1,14,247,167,174,126,87,89,53,41,66,70,55,24,63,100,51,36,33,36,30,35,3,1,3,9,1,2,2,34,0,0,0,0,0,0,0
Beta_1.95,M576,16,50,58,70,65,51,66,98,11,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,4,1,1,0,2,265,176,168,133,81,88,55,36,54,72,63,34,32,78,78,52,33,36,30,43,3,2,2,4,4,1,3,30,1,0,0,0,0,0,0
Beta_1.95,M577,13,50,56,65,69,62,62,100,8,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,2,0,1,267,183,165,130,78,99,56,36,42,51,85,33,23,41,82,62,58,32,28,36,23,2,1,4,7,2,2,26,0,0,0,0,0,0,0
Beta_1.95,M578,12,58,58,67,63,62,74,89,16,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,3,2,2,271,188,146,141,81,99,57,42,38,43,68,50,22,17,56,77,44,47,44,31,37,2,1,2,8,1,2,25,1,0,0,0,0,0,0
Beta_1.95,M579,15,63,52,64,62,63,66,86,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,5,256,205,108,174,81,95,68,35,45,41,54,56,32,16,22,72,60,38,37,36,67,3,1,1,5,3,2,19,1,0,0,0,0,0,0
Beta_1.95,M580,14,64,47,86,59,59,62,91,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,248,212,102,187,84,94,66,44,41,39,57,45,43,15,16,26,75,51,38,31,75,29,1,1,3,6,2,14,5,0,0,0,0,0,0
Beta_1.95,M581,18,66,58,84,30,61,48,107,20,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,244,212,102,188,85,94,74,44,42,38,48,50,31,32,13,9,43,67,47,31,69,67,1,1,2,3,2,8,6,0,0,0,0,0,0
Beta_1.95,M582,19,56,62,96,30,61,66,93,18,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,240,222,101,184,85,93,79,49,42,41,41,52,33,33,25,9,6,63,67,62,46,65,19,1,2,2,2,3,12,0,0,0,0,0,0
Beta_1.95,M583,23,74,54,93,48,55,63,89,19,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,230,214,99,175,88,90,80,46,56,43,33,58,30,22,39,16,20,21,73,56,47,56,45,1,1,3,3,3,10,0,0,0,0,0,0
Beta_1.95,M584,19,65,50,91,39,65,55,86,27,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,224,219,95,166,95,87,82,50,58,46,37,64,44,22,39,18,15,14,21,76,52,49,74,2,1,2,2,3,7,0,0,0,0,0,0
Beta_1.95,M585,23,82,49,95,28,65,56,101,30,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,220,223,99,163,96,79,96,61,56,62,43,54,35,23,20,30,14,7,15,19,72,51,66,35,1,2,3,4,5,0,0,0,0,0,0
Beta_1.95,M586,22,81,52,84,47,59,61,95,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,223,222,118,155,109,85,90,47,53,52,48,53,39,23,9,28,14,11,8,20,27,65,52,77,3,1,4,4,1,0,0,0,0,0,0
Beta_1.95,M587,22,75,61,66,52,58,50,99,29,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,9,9,216,230,117,99,160,74,96,50,47,57,29,63,41,30,11,19,10,9,13,15,15,30,60,58,51,7,1,1,1,0,0,0,0,0,0
Beta_1.95,M588,24,90,68,58,47,60,62,84,30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,4,3,2,9,216,219,130,100,151,71,96,53,50,47,44,45,46,37,16,7,23,6,6,9,20,15,36,50,74,11,2,2,0,0,0,0,0,0,0
Beta_1.95,M589,22,93,61,65,36,58,71,85,38,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,15,5,2,2,0,0,6,212,220,130,98,152,69,93,64,51,50,33,45,47,41,20,8,15,14,5,7,12,12,12,42,65,38,7,4,0,0,0,0,0,0,0
Beta_1.95,M590,19,91,69,59,49,62,93,57,37,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,0,2,0,0,13,221,221,137,95,145,69,95,71,51,48,30,35,48,41,25,8,7,21,7,5,7,16,14,11,55,62,9,3,1,0,0,0,0,0,0
Beta_1.95,M591,15,104,63,56,47,65,76,63,37,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,216,243,146,95,142,70,91,90,50,41,32,35,46,33,35,6,4,5,26,5,6,12,15,10,15,98,5,5,2,1,0,0,0,0,0
Beta_1.95,M592,34,87,55,51,46,63,77,66,34,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,15,208,235,153,97,126,83,88,93,62,38,34,32,52,24,34,8,9,16,8,13,7,8,14,13,13,39,63,3,3,9,0,0,0,0,0
Beta_1.95,M593,41,99,42,53,41,60,80,75,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,14,194,250,154,102,82,129,90,94,55,38,38,37,43,27,33,16,10,13,3,10,6,8,8,15,14,19,75,8,5,27,0,0,0,0,0
