Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B1_42,B1_43,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41,B2_42,B2_43
Beta_2.15,M378,20,152,194,37,43,11,59,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,5,5,2,6,124,92,92,74,55,58,76,187,126,96,119,108,42,40,54,80,53,28,30,13,7,8,6,5,2,1,2,1,1,2,2,3,4,0,0
Beta_2.15,M379,21,149,201,41,33,7,60,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,6,5,4,10,132,88,83,72,64,53,79,178,135,87,127,99,40,52,40,79,62,14,27,17,9,8,7,3,2,3,1,1,1,2,2,3,4,0,0
Beta_2.15,M380,25,138,195,42,31,9,63,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,4,2,2,4,11,130,82,92,66,63,70,84,175,147,78,130,95,37,54,44,87,73,16,11,17,16,9,6,7,3,1,1,1,2,1,2,4,2,0,0
Beta_2.15,M381,25,146,205,55,24,8,67,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,1,4,1,7,129,83,93,65,72,57,80,172,161,86,127,100,37,44,39,89,56,15,12,14,10,15,8,8,3,2,1,1,2,2,2,3,6,0,0
Beta_2.15,M382,25,133,194,57,19,10,74,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,3,2,3,8,136,80,92,60,76,67,82,169,151,94,136,91,47,38,30,96,59,28,14,12,10,10,11,7,5,3,2,2,1,2,2,3,7,0,0
Beta_2.15,M383,34,144,205,60,12,7,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,2,3,4,4,3,141,93,105,65,71,57,86,167,153,72,149,88,49,46,29,87,64,17,23,10,9,10,9,10,9,4,2,1,1,2,2,3,7,0,0
Beta_2.15,M384,40,145,198,66,8,13,80,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,4,12,3,8,136,89,116,52,73,63,78,170,141,64,159,69,63,58,32,79,55,19,13,15,12,10,7,8,9,5,4,1,1,2,2,3,8,0,0
Beta_2.15,M385,39,122,205,62,7,10,75,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,2,4,4,22,7,133,88,111,47,76,63,72,170,147,72,133,86,56,50,41,64,63,13,17,12,14,10,10,7,5,12,3,3,1,2,2,3,8,0,0
Beta_2.15,M386,38,133,212,60,8,11,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,4,2,6,24,134,103,109,50,73,71,82,159,151,66,129,74,56,52,47,64,59,18,13,12,9,13,12,8,7,6,9,4,2,2,2,3,9,0,0
Beta_2.15,M387,44,123,213,59,6,14,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,10,4,5,4,14,144,111,95,60,69,75,79,166,152,78,107,85,46,57,59,59,60,15,16,13,12,9,9,8,7,3,8,7,4,2,3,2,10,0,0
Beta_2.15,M388,45,128,211,55,5,12,67,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,17,8,10,3,5,3,10,137,113,96,72,66,76,89,156,144,77,108,80,41,54,51,69,67,19,17,15,10,11,8,9,8,6,5,1,1,8,3,4,9,0,0
Beta_2.15,M389,55,117,211,53,4,24,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,16,5,8,4,4,11,139,112,95,66,59,94,87,151,154,79,107,78,47,58,42,57,58,30,19,14,13,9,11,7,9,8,4,5,0,0,3,4,11,0,0
Beta_2.15,M390,61,126,227,46,4,26,66,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,13,4,5,6,10,9,133,112,91,73,63,85,91,156,147,84,105,77,49,58,39,45,49,36,28,19,10,13,9,8,9,9,6,6,2,0,0,1,1,6,0
Beta_2.15,M391,52,110,222,43,4,33,60,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,6,9,5,4,7,16,136,123,88,69,65,87,95,166,153,82,97,89,43,55,37,51,36,33,41,20,14,13,10,11,7,10,9,6,5,0,0,0,0,0,0
Beta_2.15,M392,76,99,235,39,6,46,50,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,6,9,5,1,13,137,133,90,81,52,98,101,158,148,89,93,92,39,60,39,49,26,37,29,21,18,14,12,9,11,8,9,8,6,4,0,0,0,0,0
Beta_2.15,M393,74,91,245,29,4,52,41,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,3,9,1,15,124,127,97,87,61,89,98,160,136,92,82,107,44,64,49,41,15,24,29,19,19,19,14,11,11,10,9,8,9,7,0,0,0,0,0
Beta_2.15,M394,82,102,255,27,4,61,40,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,3,4,2,3,13,124,122,65,112,62,95,111,162,127,100,87,122,43,52,60,27,18,15,18,28,17,26,14,11,13,10,10,9,9,8,5,0,0,0,0
Beta_2.15,M395,75,88,258,20,8,60,36,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,3,5,2,1,8,129,125,69,92,84,115,122,166,128,90,64,128,52,51,65,15,15,10,14,19,25,19,22,15,13,12,10,10,9,10,9,0,0,0,0
