Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37
Beta_2.00,M353,72,92,37,104,32,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,18,39,43,49,66,168,113,91,69,50,55,47,44,36,36,28,19,18,21,26,15,4,5,5,9,49,0,0,0,0
Beta_2.00,M354,80,82,41,97,26,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,15,8,0,1,3,30,40,49,69,166,103,85,75,49,51,44,44,37,24,37,22,16,15,24,24,3,5,4,10,42,0,0,0,0
Beta_2.00,M355,72,81,42,104,30,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,1,1,4,6,5,9,31,40,51,71,163,97,76,70,56,49,47,50,37,25,29,24,16,13,24,30,3,5,3,11,35,0,0,0,0
Beta_2.00,M356,67,82,40,100,36,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,6,4,0,3,3,29,49,47,77,157,95,78,76,46,56,48,46,38,26,24,24,22,16,19,34,3,4,4,10,27,0,0,0,0
Beta_2.00,M357,39,71,40,107,27,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,1,1,2,1,7,30,51,50,74,151,97,76,69,58,54,45,47,36,25,22,23,21,18,18,29,12,4,4,11,17,0,0,0,0
Beta_2.00,M358,49,74,43,110,31,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,1,3,4,6,26,50,50,75,155,96,75,70,70,57,43,51,38,28,23,17,15,20,14,26,21,4,3,9,15,0,0,0,0
Beta_2.00,M359,44,79,43,89,32,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,5,2,5,4,2,5,9,23,49,58,76,155,89,69,65,71,64,45,45,42,21,23,16,13,13,17,23,30,3,3,5,18,0,0,0,0
Beta_2.00,M360,45,76,46,108,32,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,8,7,5,2,4,1,10,23,47,58,80,156,87,60,62,64,73,51,51,39,21,25,16,12,15,14,24,36,3,4,4,14,0,0,0,0
Beta_2.00,M361,41,67,55,113,25,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,11,5,6,4,1,4,11,25,51,58,92,149,79,69,50,71,67,57,53,34,30,21,16,13,16,15,23,43,2,3,4,10,0,0,0,0
Beta_2.00,M362,48,61,59,118,29,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,5,3,5,1,1,12,26,54,58,97,148,68,73,54,58,84,64,54,45,24,29,16,15,14,16,21,34,20,2,4,7,0,0,0,0
Beta_2.00,M363,52,76,53,136,28,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,1,1,5,1,10,27,54,53,101,153,60,75,54,58,74,69,50,45,36,21,21,14,16,15,19,28,32,3,4,2,0,0,0,0
Beta_2.00,M364,63,63,48,135,25,5,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,2,4,0,2,14,25,51,60,106,155,58,73,49,56,85,55,67,38,36,28,29,16,15,17,21,29,39,4,0,0,0,0,0,0
Beta_2.00,M365,52,70,56,136,23,8,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,1,2,1,9,31,47,65,103,156,53,56,60,60,80,47,60,62,34,32,31,17,14,15,23,29,45,2,0,0,0,0,0,0
