Folder_name,File_name,B1_1,B1_2,B1_3,B1_4,B1_5,B1_6,B1_7,B1_8,B1_9,B1_10,B1_11,B1_12,B1_13,B1_14,B1_15,B1_16,B1_17,B1_18,B1_19,B1_20,B1_21,B1_22,B1_23,B1_24,B1_25,B1_26,B1_27,B1_28,B1_29,B1_30,B1_31,B1_32,B1_33,B1_34,B1_35,B1_36,B1_37,B1_38,B1_39,B1_40,B1_41,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8,B2_9,B2_10,B2_11,B2_12,B2_13,B2_14,B2_15,B2_16,B2_17,B2_18,B2_19,B2_20,B2_21,B2_22,B2_23,B2_24,B2_25,B2_26,B2_27,B2_28,B2_29,B2_30,B2_31,B2_32,B2_33,B2_34,B2_35,B2_36,B2_37,B2_38,B2_39,B2_40,B2_41
Beta_1.90,M466,113,48,42,51,44,36,40,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,1,1,2,14,19,71,102,86,75,96,72,37,46,80,68,86,97,35,29,32,21,18,7,13,12,11,42,86,50,0,0,0,0,0,0,0
Beta_1.90,M467,122,41,40,53,55,36,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,2,12,9,67,103,88,74,75,100,39,45,74,68,48,138,56,27,40,10,10,9,11,11,10,34,69,74,0,0,0,0,0,0,0
Beta_1.90,M468,118,36,56,29,55,55,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,3,15,20,68,96,104,73,59,125,51,33,74,70,49,119,70,30,39,15,9,9,10,10,11,21,48,96,0,0,0,0,0,0,0
Beta_1.90,M469,139,19,83,4,49,37,37,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,0,2,8,33,81,92,97,88,61,103,56,36,56,85,45,115,77,31,46,15,11,10,7,11,11,12,41,114,0,0,0,0,0,0,0
Beta_1.90,M470,138,14,74,6,60,34,29,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,18,1,1,8,42,66,93,95,87,66,97,62,42,54,88,47,106,72,50,51,16,13,8,8,7,13,10,35,113,0,0,0,0,0,0,0
Beta_1.90,M471,135,7,76,6,58,43,25,25,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,1,1,1,0,1,6,39,87,92,89,79,78,89,74,39,54,95,45,72,98,69,36,30,13,11,9,1,11,12,27,95,16,0,0,0,0,0,0
Beta_1.90,M472,133,10,80,9,58,49,40,14,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,1,1,1,1,1,29,96,97,97,83,60,103,75,36,33,92,64,47,116,82,35,37,13,12,11,2,13,12,28,78,29,0,0,0,0,0,0
Beta_1.90,M473,124,9,77,10,71,68,18,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,26,78,120,95,82,58,93,86,47,30,70,56,67,118,77,49,44,15,12,13,4,15,11,25,63,41,0,0,0,0,0,0
Beta_1.90,M474,113,4,80,15,86,50,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24,78,138,96,78,62,86,68,82,28,50,62,48,123,71,78,47,15,15,12,8,15,12,21,53,60,0,0,0,0,0,0
Beta_1.90,M475,117,6,79,40,58,48,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5,89,130,116,77,62,87,78,72,45,39,61,36,57,122,80,79,16,14,13,14,13,14,12,42,69,0,0,0,0,0,0
